algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31872-Na64-Cl32-F32-1-allSk.dat,1,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,89,0.9600718848595191,1,0.10907651350818841,0.10907651350818841,0.06259923302937356,0.005182718325307277,-0.01926332411330416,0.02659279465891327,0.4985075396499219,0.3401255702508244,0.36487055326733847,0.6547962869681045,-0.1737860926095056,0.6897909775507506
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31872-Na64-Cl32-F32-1-allSk.dat,1,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,229,0.9437050471817541,1,0.10907651350818841,0.10907651350818841,0.06238611910056185,0.0049790371024941125,-0.021419519134040218,0.028460940931946226,0.5053461897716489,0.34420760533803174,0.3704598299306021,0.701658049305393,-0.21487498556438267,0.7387843013666704
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31872-Na64-Cl32-F32-1-allSk.dat,1,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,467,0.9032965698932678,1,0.10907651350818841,0.10907651350818841,0.0616721371006526,0.003762269147950359,-0.022878016149344385,0.02819866820367364,0.509376542663653,0.34087906655857536,0.3794881484310802,0.710093726537655,-0.22801792748143665,0.7646952137525245
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl160-F32-1-allSk.dat,1,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,89,0.8700384803227863,1,0.1895983020700457,0.1895983020700457,0.06131287557955175,-0.015885241317112955,-0.03367913387248521,0.036398097094288914,0.4875065112838047,0.43052556795954866,0.23145776292043485,0.5487990833557259,-0.17258409365015978,0.952863181398093
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl160-F32-1-allSk.dat,1,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,229,0.8382257182480293,1,0.1895983020700457,0.1895983020700457,0.06163755614326105,-0.01679758733301373,-0.03505199927460802,0.037233135249575104,0.4905227314698295,0.44230881194602495,0.21249782877885165,0.5648041982103935,-0.17950968317130309,0.9219071061479769
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl160-F32-1-allSk.dat,1,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,467,0.8170629769090529,1,0.1895983020700457,0.1895983020700457,0.06128208299513041,-0.018071658306582424,-0.03564194727601147,0.03543147530256906,0.49993991943633087,0.44638421995575694,0.2264522447628506,0.5636665361132526,-0.16698312326917636,0.9280780655019336
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl32-F160-1-allSk.dat,1,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,89,0.9548549309339978,1,0.1895983020700457,0.1895983020700457,0.062244241878567606,0.03267006198441653,-0.025963633229262335,0.047399549576614436,0.5871792988628866,0.22264789445734312,0.5436515291637777,0.799493715914519,-0.11364591092312143,0.6463644083281544
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl32-F160-1-allSk.dat,1,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,229,0.9139941838740001,1,0.1895983020700457,0.1895983020700457,0.06207454426316583,0.03244854181461025,-0.030142509944194124,0.0490257368695596,0.5810707138704309,0.20704432782018084,0.5439380367125948,0.8539078260109142,-0.15507349159467848,0.6652052389279115
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl32-F160-1-allSk.dat,1,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,467,0.8584864882375641,1,0.1895983020700457,0.1895983020700457,0.061348091930066385,0.028792815230558374,-0.03144744589018048,0.04560467413754825,0.5642172077994445,0.19656993229568426,0.5301602378995347,0.8731515949716437,-0.1751536921125727,0.6590925551945173
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31360-Na320-Cl160-F160-1-allSk.dat,1,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,86,0.9394062019408183,1,0.24452703161864242,0.24452703161864242,0.06300502222159583,0.00865967339997259,-0.043677542779554615,0.0559241703475174,0.5354154073620495,0.3414191087810004,0.4157726218139256,0.6638585645999492,-0.18101903050852325,0.7690103111411966
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31360-Na320-Cl160-F160-1-allSk.dat,1,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,228,0.8855361658200387,1,0.24452703161864242,0.24452703161864242,0.06379299698781327,0.006642369406124754,-0.05053592787952102,0.05992965677995482,0.5361728253069036,0.33555763820346624,0.42270524312145746,0.6909948925207633,-0.21644472961553726,0.8142402173241188
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31360-Na320-Cl160-F160-1-allSk.dat,1,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,467,0.8338828326388662,1,0.24452703161864242,0.24452703161864242,0.06340575097438296,0.004334772341603843,-0.05426214728148215,0.06039244111677808,0.5352817489964646,0.3352528059296142,0.4217499031919772,0.7078960302313188,-0.23377696526202305,0.8302213982856572
