algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_I,n_X,x_O,x_Na,x_Cl,x_I,x_X,x_I_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OI,S0_NaNa,S0_NaCl,S0_NaI,S0_ClCl,S0_ClI,S0_II
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31872-Na64-Cl32-I32-2-allSk.dat,2,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,89,0.9203104965674832,1,0.10907651350818841,0.10907651350818841,0.06465790970850693,-0.030989538185854835,0.006314298683594587,-0.05014012387770942,0.4703790721148575,0.31877367106222143,0.34644279217908236,0.7051981564181123,-0.25438410747445905,0.7443282027605209
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31872-Na64-Cl32-I32-2-allSk.dat,2,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,229,0.9250949604765664,1,0.10907651350818841,0.10907651350818841,0.06383922463422917,-0.029819741884070508,0.0035906851054985367,-0.045762168504416126,0.4766094506794081,0.3469395527307072,0.32708799637530245,0.7541151034726736,-0.26346848267725176,0.7260407632406465
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31872-Na64-Cl32-I32-2-allSk.dat,2,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,470,0.9160437678357735,1,0.10907651350818841,0.10907651350818841,0.06340261474917766,-0.0321426880528548,0.0006670557998588525,-0.04612368117533376,0.48508065824747626,0.35632797117423903,0.32967967456421016,0.7661978341225723,-0.26227398463507423,0.7285114516425286
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl160-I32-2-allSk.dat,2,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,89,0.8612921085065661,1,0.1895983020700457,0.1895983020700457,0.0630239994585951,-0.03374361997236079,-0.0161010144540326,-0.04665168818074779,0.5599459673237417,0.5287181537177401,0.1893321708212598,0.6569734197722803,-0.17394753166645938,0.852725715730049
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl160-I32-2-allSk.dat,2,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,229,0.8358801939654923,1,0.1895983020700457,0.1895983020700457,0.06337178623540382,-0.03485230677119652,-0.015634585423949646,-0.05041037214039984,0.5089095765826516,0.4713029479962078,0.19270335812776584,0.598443753374635,-0.18370917639561846,0.8828111056449386
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl160-I32-2-allSk.dat,2,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,467,0.8274496391773721,1,0.1895983020700457,0.1895983020700457,0.06319640036167669,-0.03610676127651817,-0.016515389069786585,-0.0515136087570523,0.49023362108211044,0.45352475931227015,0.18671003510661685,0.5838021600885536,-0.1945170693356047,0.8922977056867972
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl32-I160-2-allSk.dat,2,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,89,0.8527387802488454,1,0.1895983020700457,0.1895983020700457,0.07150461433870439,-0.06534319552762173,0.006724354299461506,-0.07458710700357599,0.4550198597398156,0.2266656924706124,0.39708130327839736,0.8613133069161378,-0.1368911952805581,0.4962003775719618
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl32-I160-2-allSk.dat,2,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,229,0.8198019387247878,1,0.1895983020700457,0.1895983020700457,0.07224979652143462,-0.07002403873922013,0.004377967026280599,-0.07866537754497616,0.46484556458943593,0.21716985326084257,0.41209149205273776,0.8900341783733962,-0.16013773014611665,0.5230393819803376
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl32-I160-2-allSk.dat,2,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,470,0.820934675260611,1,0.1895983020700457,0.1895983020700457,0.07238806802369782,-0.07044445195815299,0.007814245682297681,-0.08066266768483907,0.4622201950272946,0.20321742484729455,0.415455259467572,0.9136218950798437,-0.18597059729219417,0.5382770139614186
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31360-Na320-Cl160-I160-2-allSk.dat,2,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,89,0.8380233365828856,1,0.24452703161864242,0.24452703161864242,0.0728955271334698,-0.061195058014597736,0.006295505881009689,-0.09283838687546216,0.4151525338373587,0.3060470555706388,0.28106728823570915,0.6801521025394767,-0.2473362058271269,0.6448253767894947
