x_ion,c_NaCl_M,mu_ex_kBT,debye_length_nm
4.8995590396864281e-04,1.3584051303363088e-02,7.3277908632519803e-02,2.6181586690834906e+00
9.7943192948090111e-04,2.7163662407253680e-02,5.1914509365277091e-02,1.8514690520755610e+00
1.4684287812041115e-03,4.0739478967594417e-02,1.8695000327053516e-02,1.5118297391537692e+00
1.9569471624266144e-03,5.4306359933280354e-02,-5.6726482412326786e-03,1.3094390021120104e+00
2.4449877750611247e-03,6.7875485221302198e-02,-2.9483215353989883e-02,1.1712622486821145e+00
2.9325513196480938e-03,8.1437339690636268e-02,-3.7141607244665142e-02,1.0692981862723365e+00
3.4196384953590619e-03,9.4995608306123927e-02,-2.9455312631779803e-02,9.9005393722003943e-01
3.9062500000000000e-03,1.0854355758001608e-01,-2.9749594917306166e-02,9.2620813979701666e-01
4.8780487804878049e-03,1.3563656977932798e-01,-4.9713659220349385e-02,8.2855667466361727e-01
5.8479532163742687e-03,1.6270028129447789e-01,-6.2650734980118652e-02,7.5651312536994852e-01
6.8159688412852970e-03,1.8975181466760643e-01,-5.9973940055669472e-02,7.0051534052099906e-01
7.7821011673151752e-03,2.1675965975915021e-01,-5.7596053077594293e-02,6.5542256449486169e-01
8.7463556851311956e-03,2.4377165283232968e-01,-5.8154702979746745e-02,6.1804346440687175e-01
9.7087378640776691e-03,2.7076233741147110e-01,-5.4936229774839050e-02,5.8643042205343821e-01
1.0669253152279340e-02,2.9773237222173082e-01,-5.0872577184599019e-02,5.5923918018519092e-01
1.1627906976744186e-02,3.2465033435460272e-01,-5.0772222257963719e-02,5.3555329050364586e-01
1.2584704743465635e-02,3.5159418270182952e-01,-5.5787595799862144e-02,5.1462369514622075e-01
1.3539651837524178e-02,3.7850787325157159e-01,-5.4888409970766175e-02,4.9599027409119706e-01
1.4492753623188406e-02,4.0534669389336092e-01,-6.0683378953893419e-02,4.7928882333156747e-01
1.5444015444015444e-02,4.3224833679685226e-01,-6.0092446292975187e-02,4.6413460929136197e-01
1.6393442622950821e-02,4.5908188772840014e-01,-6.0673465211427857e-02,4.5036594138875102e-01
1.7341040462427744e-02,4.8586576500158674e-01,-6.8847955300580146e-02,4.3777652520652027e-01
1.8286814244465831e-02,5.1265248741171265e-01,-7.1336895949823120e-02,4.2618590730046924e-01
1.9230769230769232e-02,5.3940692788849087e-01,-7.3966519574552081e-02,4.1548213941778606e-01
3.9062500000000000e-03,1.0852812231911817e-01,-2.9744342322137518e-02,9.2627400178604602e-01
1.1627906976744186e-02,3.2461663063782237e-01,-5.0759663537524008e-02,5.3558109201814841e-01
1.9230769230769232e-02,5.3935163951648535e-01,-7.3911094842680380e-02,4.1550343419167862e-01
2.6717557251908396e-02,7.5259475839599077e-01,-4.0947751148694936e-02,3.5174669428353750e-01
3.4090909090909088e-02,9.6449608226683170e-01,-1.5047697977406384e-02,3.1071368762165208e-01
4.1353383458646614e-02,1.1745513419512830e+00,2.6798833769255868e-02,2.8156237286289831e-01
4.8507462686567165e-02,1.3830316819219086e+00,4.8749959822882813e-02,2.5947442297054985e-01
5.5555555555555552e-02,1.5898491453792352e+00,5.8266720087312693e-02,2.4200963707217735e-01
6.2500000000000000e-02,1.7949477394016851e+00,9.5660163055094269e-02,2.2776380791103865e-01
7.2727272727272724e-02,2.0993538382879167e+00,1.6171143336686755e-01,2.1060457321134332e-01
7.9422382671480149e-02,2.3002136395234043e+00,1.9090673309196873e-01,2.0119933088449268e-01
8.9285714285714288e-02,2.5977479986996830e+00,2.5561867583250919e-01,1.8932680666237903e-01
9.5744680851063829e-02,2.7940319129989830e+00,3.1041549683048963e-01,1.8255550685122665e-01
1.0526315789473684e-01,3.0843601263937779e+00,3.7952275117391704e-01,1.7375130662997568e-01
1.1149825783972125e-01,3.2758617056764701e+00,4.2584893012608532e-01,1.6859622245077596e-01
1.2068965517241380e-01,3.5589874420654324e+00,5.1073692996334497e-01,1.6175115536660289e-01
1.2671232876712329e-01,3.7456819366972560e+00,5.7930918149974397e-01,1.5766858531984487e-01
1.3559322033898305e-01,4.0220419626318327e+00,6.7491804477432338e-01,1.5215538265298512e-01
1.4999999999999999e-01,4.4724328631820116e+00,8.3214728433669427e-01,1.4429082091747544e-01
1.6393442622950818e-01,4.9107499045726657e+00,1.0153159151048123e+00,1.3770087845266021e-01
1.7741935483870969e-01,5.3370910724155998e+00,1.1900455213938568e+00,1.3208646347888223e-01
1.9047619047619047e-01,5.7502189450819872e+00,1.3657016126405077e+00,1.2725311691316540e-01
2.0312500000000000e-01,6.1520883778807249e+00,1.5240160410400059e+00,1.2302668909832040e-01
2.1538461538461540e-01,6.5423267201609168e+00,1.6623589080534777e+00,1.1930111561220218e-01
2.2727272727272727e-01,6.9197196157094538e+00,1.8269125937874762e+00,1.1600223867676725e-01
2.5000000000000000e-01,7.6422193991846905e+00,2.1667633555647550e+00,1.1038266329582397e-01
