system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_F,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0,0.0,0.0,kJ/mol,0.0,0.0,0.0,0.04104732956668566,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.0,0.0,0.0,0.0,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0025,0.0025,-0.2532737353704328,kJ/mol,-0.10216947383354061,-0.002624997290183728,-0.2532737353704328,-0.061122144266854944,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.08956062440279541,0.0517078506077449,0.03612834887144472,0.02085871194630532,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.005,0.005,-0.4322662323616854,kJ/mol,-0.17437423367964494,-0.004480123795417512,-0.4322662323616854,-0.13332690411295928,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.1517572877647042,0.08761711094243949,0.06121820021585662,0.03534434437392923,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0075,0.0075,-0.5503506248751449,kJ/mol,-0.22200894097927068,-0.005703982281602293,-0.5503506248751449,-0.18096161141258502,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.19680912920945293,0.11362780372805349,0.07939190831436882,0.04583693963677893,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.01,0.01,-0.6198026554947376,kJ/mol,-0.2500255745030605,-0.006423801855106603,-0.6198026554947376,-0.20897824493637487,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2321241384716882,0.13401693383203916,0.09363782255996575,0.05406182206132664,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0125,0.0125,-0.6516092489752701,kJ/mol,-0.2628562097664858,-0.006753453966780398,-0.6516092489752701,-0.22180888019980016,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.26206856784051363,0.15130535818886026,0.10571726928342443,0.06103589387877725,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.015,0.015,-0.655350911533914,kJ/mol,-0.2643655794384741,-0.006792233566500271,-0.655350911533914,-0.22331824987178847,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.28809209245206774,0.16633004712860386,0.1162150408465435,0.06709678511663525,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0175,0.0175,-0.6391574524653268,kJ/mol,-0.2578332116421737,-0.006624400190048617,-0.6391574524653268,-0.21678588207548807,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.3093086846026701,0.17857945231804065,0.12477371770025462,0.07203813950203239,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.02,0.02,-0.6097335119725917,kJ/mol,-0.24596372776594266,-0.006319442536437236,-0.6097335119725917,-0.204916398199257,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.32335521700619063,0.18668922158239404,0.13044002503668048,0.075309583568029,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0225,0.0225,-0.5724475926719319,kJ/mol,-0.23092275736774245,-0.005933001214430078,-0.5724475926719319,-0.1898754278010568,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.32726840071164875,0.18894849924812873,0.13201858555980733,0.07622096591098841,3
