system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_I,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0,0.0,0.0,kJ/mol,0.0,0.0,0.0,0.014426048259867806,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.0,0.0,0.0,0.0,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0025,0.0025,-0.014059492230678176,kJ/mol,-0.005671535271804709,-0.0001457163687064167,-0.014059492230678176,0.008754512988063097,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.11833001583955059,0.06831786649817721,0.047733790633123684,0.027559116871475196,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.005,0.005,0.013344129281417007,kJ/mol,0.0053829611090747045,0.00013830215419829986,0.013344129281417007,0.01980900936894251,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.184718044821105,0.10664701290164633,0.07451441982063431,0.043020920341952006,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0075,0.0075,0.07946351149832438,kJ/mol,0.03205521941260511,0.0008235812609882488,0.07946351149832438,0.04648126767247292,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2151432210326936,0.1242129965775488,0.0867877976356861,0.05010695832733814,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.01,0.01,0.1806729199228873,kJ/mol,0.07288263481996148,0.0018725428616335194,0.1806729199228873,0.08730868307982928,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2233369639545773,0.12894365625916895,0.09009311629350807,0.052015284944189145,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0125,0.0125,0.3127170385559242,kJ/mol,0.12614863219556588,0.0032410837136467303,0.3127170385559242,0.1405746804554337,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.22061707987986873,0.1273733304564714,0.08899592741841698,0.051381822651803445,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.015,0.015,0.47096399011514856,kJ/mol,0.18998473329353704,0.004881197791860358,0.47096399011514856,0.20441078155340486,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2157127614739985,0.12454182090465057,0.08701754766140408,0.050239604566532745,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0175,0.0175,0.6506511976523524,kJ/mol,0.262469736216732,0.006743524464525308,0.6506511976523524,0.2768957844765998,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2145558360072447,0.12387386967498794,0.08655084918582004,0.049970156076023904,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.02,0.02,0.8471136263593634,kJ/mol,0.3417217871240132,0.008779714052934649,0.8471136263593634,0.356147835383881,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2202346873403801,0.12715255602086153,0.0888416720057889,0.05129276324779866,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0225,0.0225,1.0559853415617935,kJ/mol,0.4259796878089363,0.01094451683282216,1.0559853415617935,0.4404057360688041,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.23342643252335143,0.13476881365333096,0.09416316206206758,0.05436512696428108,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.025,0.025,1.273367106650993,kJ/mol,0.5136705039438438,0.013197520064522905,1.273367106650993,0.5280965522037117,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2532307599577325,0.14620284742869036,0.10215213774736115,0.0589775642267347,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0275,0.0275,1.4959548120258104,kJ/mol,0.6034613727313191,0.015504479065157284,1.4959548120258104,0.6178874209911869,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.2779148997053928,0.1604542421567164,0.11210960754328558,0.06472651209385924,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.03,0.03,1.7211257818478738,kJ/mol,0.6942943186570415,0.017838211715115904,1.7211257818478738,0.7087203669169093,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.30531015086047686,0.17627089778562158,0.12316072736018624,0.07110687909499364,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0325,0.0325,1.946982290836891,kJ/mol,0.7854038079672468,0.020179049477860644,1.946982290836891,0.7998298562271147,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.33300241985325657,0.19225903674307446,0.13433166282300116,0.07755642169154976,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.034999999999999996,0.034999999999999996,2.172353853945326,kJ/mol,0.8763176723130858,0.022514861130730424,2.172353853945326,0.8907437205729536,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.3585096496698739,0.20698564274398015,0.14462116341216974,0.08349706762653306,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0375,0.0375,2.3967618784598406,kJ/mol,0.9668428495689853,0.02484068640978876,2.3967618784598406,0.9812688978288531,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.37950271591811763,0.2191059951935193,0.1530896709326937,0.08838636272314195,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.04,0.04,2.6203520105971623,kJ/mol,1.0570380927568772,0.02715803483170021,2.6203520105971623,1.071464141016745,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.3940377981382747,0.22749782882602035,0.15895305704491228,0.09177159027339404,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.005,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0425,0.0425,2.843800866930198,kJ/mol,1.1471763459273552,0.02947391903308017,2.843800866930198,1.1616023941872229,0.014426048259867806,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.4007544097800677,0.2313756663654517,0.16166250765724105,0.09333589231377806,3
