tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
li160,0.05,0,0.015,0.1224744871391589,160,3200,3040,58.23133182188903,253,1,2,48,386.40593699463375,0.847999882189231,4,4,0.75,1,lowest-cost,,,7.531104378638589,5.250545287459378,0.9461774773302156,0.0496987586311306,-0.1660781498524629,0.055334985627377,0.0453708201828152,0.0846504199521845,0.110669971254754,-1.3690622048122445e-18
li160,0.05,1,0.015,0.1224744871391589,160,3200,3040,58.21805745136067,253,1,2,32,436.1292839023158,0.9193315865816856,4,4,0.3,1,lowest-cost,,,7.533680289948036,5.13691978531936,0.9611995114062248,0.0538415620576283,-0.1652740141917084,0.055073669526005,0.0441522912313848,0.0832157542538844,0.1101473390520101,-6.555141144300042e-18
li160,0.05,2,0.015,0.1224744871391589,160,3200,3040,58.244901785861714,253,1,2,42,453.1044650640385,0.9167842600430842,4,4,0.75,1,lowest-cost,,,7.528472623946451,4.789421809668846,0.9017575577124306,0.0476108608566771,-0.1580296593128335,0.0557852942787692,0.0463118237110732,0.0837694188377136,0.1115705885575385,-2.5249511065332764e-17
li160,0.05,3,0.015,0.1224744871391589,160,3200,3040,58.22789639284036,253,1,2,55,438.20988695390395,0.9111887407072784,4,4,1.0,1,lowest-cost,,,7.531770887940023,5.546635523375094,0.854699729577817,0.0443087996000734,-0.1506216965035108,0.0555024176925039,0.0467791432637226,0.0825493753578514,0.1110048353850079,6.927714369642643e-18
li160,0.05,4,0.015,0.1224744871391589,160,3200,3040,58.235064097658366,253,1,2,58,441.8372127917702,0.913408362336652,4,4,0.75,1,lowest-cost,,,7.530380389360197,4.968315406784241,0.86196466806091,0.0461282843341251,-0.1504216357480477,0.0538719719108083,0.0446889227619256,0.0803589572868899,0.1077439438216168,-5.764978097143774e-18
li320,0.1,0,0.015,0.1224744871391589,320,3200,2880,58.02987134561754,253,1,2,69,405.98922460603393,0.8594114309271464,4,4,1.0,1,lowest-cost,,,7.5703566438926355,5.344190977642881,0.8729217528303909,0.0718322767673255,-0.2152560495766817,0.0572925025197268,0.0364475080153158,0.1101710633141076,0.1145850050394537,4.284131212933797e-18
li320,0.1,1,0.015,0.1224744871391589,320,3200,2880,58.042147214990045,253,1,2,32,458.0243672591176,0.9269698433046936,4,4,0.75,1,lowest-cost,,,7.567955083998225,3.898471284832522,0.848083567304329,0.0714637532718247,-0.2073651122736842,0.056254826346475,0.0354765424534282,0.1065172633113918,0.11250965269295,8.744523845232695e-18
li320,0.1,2,0.015,0.1224744871391589,320,3200,2880,58.01680259074246,253,1,2,43,467.6129458209763,0.9258255695001568,4,4,0.5,1,lowest-cost,,,7.572914714196941,5.868061858956693,0.8611232694607951,0.0706242721014181,-0.2125965705096091,0.0570414596804033,0.0365855538497721,0.1094300833778769,0.1140829193608066,-1.1805557058114477e-18
li320,0.1,3,0.015,0.1224744871391589,320,3200,2880,58.031268603442086,253,1,2,43,452.6648405151466,0.9331849476191236,4,4,0.5,1,lowest-cost,,,7.57008323069736,5.896826104294517,0.7964986232070164,0.0655375972172502,-0.1964168478752642,0.056774810049213,0.0380000387538931,0.1055278405040777,0.1135496200984261,2.4846579007772553e-18
li320,0.1,4,0.015,0.1224744871391589,320,3200,2880,58.0312783748312,253,1,2,53,468.0340385483252,0.9361476419345044,4,4,0.75,1,lowest-cost,,,7.570081318705386,5.4674030042098,0.8946195091028132,0.0723348043953125,-0.2219589243702889,0.0569410885453183,0.0359095759524057,0.1118383247302337,0.1138821770906366,1.602195535728512e-18
