# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 3.040000e+03 0.000000e+00 3.118974e+03 0.000000e+00 6.974238e+02 0.000000e+00 3.200000e+03 0.000000e+00 7.155418e+02 0.000000e+00 1.600000e+02 0.000000e+00
3.358859e-04 1.025624e-01 8.699538e-03 6.882139e-02 3.263713e-03 -1.359207e-01 3.027826e-02 6.534675e-02 3.276430e-03 -7.700653e-03 1.143774e-02 5.653143e-01 1.038073e-01
1.343543e-03 1.451454e-01 1.819216e-02 7.961647e-02 6.734536e-03 -2.546856e-01 6.398050e-02 6.787466e-02 5.117743e-03 -3.843416e-02 8.125587e-03 9.441960e-01 2.515258e-01
3.022973e-03 1.618448e-01 1.376891e-02 8.766621e-02 4.948364e-03 -2.646498e-01 4.626169e-02 7.317558e-02 3.285341e-03 -4.798570e-02 1.151780e-02 9.519139e-01 1.753311e-01
5.374174e-03 1.393627e-01 3.020051e-03 7.605286e-02 2.208976e-03 -2.024927e-01 9.811212e-03 7.006830e-02 2.941537e-03 -2.566264e-02 4.789931e-03 7.835884e-01 4.234372e-02
8.397147e-03 1.843829e-01 7.831633e-03 9.015706e-02 3.247713e-03 -2.519178e-01 2.254265e-02 7.656952e-02 2.470978e-03 -3.987652e-02 6.679611e-03 9.666030e-01 7.276977e-02
1.209189e-02 1.786291e-01 1.712203e-02 8.337955e-02 6.897028e-03 -1.815795e-01 2.833418e-02 7.633696e-02 4.547785e-03 -1.333993e-02 8.231020e-03 8.355426e-01 7.740982e-02
1.645841e-02 2.212058e-01 1.473204e-02 9.209571e-02 5.183015e-03 -2.306019e-01 2.070655e-02 8.549186e-02 3.399019e-03 -3.341984e-02 1.221488e-02 8.622711e-01 4.785743e-02
3.358859e-04 1.375866e-01 1.243049e-02 8.731016e-02 3.368769e-03 -2.024499e-01 4.942306e-02 7.736081e-02 2.038658e-03 -3.276270e-02 1.028494e-02 7.347167e-01 1.950119e-01
6.717717e-04 2.040901e-01 4.270806e-02 9.403738e-02 8.144932e-03 -4.551539e-01 1.532730e-01 7.737722e-02 3.274894e-03 -5.991429e-02 3.787815e-02 1.712273e+00 4.948812e-01
1.679429e-03 1.388338e-01 1.178154e-02 8.354550e-02 4.847431e-03 -2.070913e-01 2.736893e-02 7.015771e-02 2.371131e-03 -4.654082e-02 9.151091e-03 7.035103e-01 8.143678e-02
3.358859e-03 1.558879e-01 1.238876e-02 8.086069e-02 6.129832e-03 -2.678263e-01 2.330753e-02 6.660441e-02 3.063983e-03 -4.930452e-02 1.467372e-02 9.616494e-01 3.236845e-02
5.710060e-03 1.700350e-01 1.861831e-02 8.354294e-02 5.675462e-03 -2.525494e-01 5.743447e-02 6.867534e-02 3.505106e-03 -4.355544e-02 1.542006e-02 9.051076e-01 1.680172e-01
8.733032e-03 1.811125e-01 8.822391e-03 9.008872e-02 4.517390e-03 -2.413856e-01 1.049893e-02 7.685510e-02 3.686470e-03 -4.549529e-02 5.761933e-03 9.052025e-01 2.272456e-02
1.242778e-02 1.809640e-01 7.683295e-03 8.121364e-02 2.771733e-03 -2.245241e-01 2.049700e-02 7.546509e-02 3.841214e-03 -2.701538e-02 7.629988e-03 9.378855e-01 9.305417e-02
1.679429e-02 2.144141e-01 1.188818e-02 9.759203e-02 5.260651e-03 -1.909983e-01 2.905303e-02 9.422564e-02 3.845108e-03 -2.182051e-02 1.395120e-02 8.954316e-01 7.551611e-02
1.343543e-03 1.640538e-01 1.983754e-02 9.369604e-02 7.198065e-03 -2.701339e-01 5.442512e-02 7.861762e-02 3.818845e-03 -5.061530e-02 1.526912e-02 9.527291e-01 1.904642e-01
1.679429e-03 1.552826e-01 2.594643e-02 9.372800e-02 1.211857e-02 -2.324025e-01 6.291930e-02 8.104082e-02 6.596257e-03 -4.531155e-02 2.529331e-02 8.118880e-01 1.721487e-01
2.687087e-03 1.968127e-01 3.376655e-02 1.031948e-01 1.473696e-02 -3.511517e-01 8.321307e-02 8.105306e-02 6.873278e-03 -7.985030e-02 3.633916e-02 1.185660e+00 2.059933e-01
4.366516e-03 1.387479e-01 4.475217e-03 7.965287e-02 4.094281e-03 -1.798407e-01 1.023623e-02 7.528847e-02 2.350480e-03 -5.025028e-03 9.607529e-03 7.826808e-01 2.644243e-02
6.717717e-03 1.649228e-01 1.154077e-02 8.536327e-02 3.255404e-03 -2.237557e-01 3.762892e-02 7.492218e-02 8.551510e-04 -2.743272e-02 1.700837e-02 9.043276e-01 9.216891e-02
9.740690e-03 1.970463e-01 5.943775e-03 9.562861e-02 3.112926e-03 -2.531146e-01 1.810684e-02 8.423187e-02 3.212947e-03 -3.703070e-02 1.041901e-02 9.732300e-01 6.359761e-02
1.343543e-02 1.902148e-01 1.162501e-02 8.412191e-02 5.122910e-03 -2.305304e-01 8.183617e-03 7.559128e-02 1.236025e-03 -3.750446e-02 9.898931e-03 9.010103e-01 2.945893e-02
1.780195e-02 2.416244e-01 1.027829e-02 1.077432e-01 3.984226e-03 -2.297509e-01 3.277572e-02 9.858259e-02 3.980147e-03 -4.250637e-02 1.079335e-02 9.188162e-01 5.918626e-02
3.022973e-03 1.464612e-01 1.285652e-02 7.664660e-02 4.881640e-03 -2.370639e-01 3.193652e-02 6.871877e-02 1.700281e-03 -1.685569e-02 1.494723e-02 9.490907e-01 1.209830e-01
3.358859e-03 1.582079e-01 1.375689e-02 8.346556e-02 2.548212e-03 -2.536107e-01 4.811751e-02 6.871786e-02 1.978001e-03 -4.647374e-02 1.870818e-02 8.724342e-01 1.190864e-01
4.366516e-03 1.524412e-01 5.264243e-03 8.324504e-02 4.574129e-03 -2.294316e-01 2.188502e-02 7.345472e-02 2.379019e-03 -3.161158e-02 1.162065e-02 8.829525e-01 1.316878e-01
6.045945e-03 1.809059e-01 3.299785e-03 8.204857e-02 1.367383e-03 -3.031456e-01 1.762292e-02 6.761830e-02 7.042270e-04 -4.221845e-02 6.280929e-03 1.153234e+00 7.304929e-02
8.397147e-03 1.760610e-01 8.573412e-03 9.140201e-02 5.561642e-03 -2.215746e-01 1.602175e-02 7.832861e-02 3.733590e-03 -4.082198e-02 8.224322e-03 8.347888e-01 5.581738e-02
1.142012e-02 1.882245e-01 6.906269e-03 8.809145e-02 5.545063e-03 -2.183062e-01 7.799201e-03 8.112441e-02 3.804640e-03 -2.912268e-02 4.578883e-03 8.507520e-01 5.554649e-02
1.511486e-02 2.122064e-01 9.302357e-03 8.660819e-02 7.209445e-03 -2.194223e-01 7.662591e-03 8.046747e-02 4.005832e-03 -2.461430e-02 1.437001e-02 8.726407e-01 4.891322e-02
1.948138e-02 2.403301e-01 1.167650e-02 9.749568e-02 7.484210e-03 -2.252761e-01 1.693483e-02 9.554455e-02 5.380290e-03 -3.100525e-02 1.162970e-02 9.217955e-01 4.622392e-02
5.374174e-03 1.568980e-01 3.730958e-03 8.591968e-02 3.053025e-03 -2.093158e-01 9.001583e-03 7.290992e-02 2.140818e-03 -3.754313e-02 2.061745e-03 7.549795e-01 4.539641e-02
5.710060e-03 2.118712e-01 9.894080e-03 1.012108e-01 5.848218e-03 -3.614776e-01 2.901231e-02 8.067941e-02 5.403427e-03 -6.530502e-02 1.218876e-02 1.275095e+00 8.834032e-02
6.717717e-03 1.700943e-01 6.572227e-03 9.327294e-02 3.574125e-03 -2.086537e-01 1.618064e-02 8.138417e-02 4.079370e-03 -2.424384e-02 1.015798e-02 8.593001e-01 7.090107e-02
8.397147e-03 1.850197e-01 8.173037e-03 9.249446e-02 3.810682e-03 -2.449336e-01 2.176173e-02 7.978836e-02 2.284550e-03 -3.680741e-02 6.200839e-03 9.100418e-01 6.459575e-02
1.074835e-02 1.869014e-01 8.594113e-03 8.644693e-02 3.638005e-03 -2.257974e-01 1.767143e-02 7.649630e-02 1.917118e-03 -2.727179e-02 1.120835e-02 9.138790e-01 4.421170e-02
1.377132e-02 2.118741e-01 8.934626e-03 9.634992e-02 4.408814e-03 -2.268587e-01 1.796659e-02 8.660451e-02 3.017590e-03 -2.937893e-02 1.095838e-02 9.021495e-01 5.063876e-02
1.746606e-02 2.485311e-01 7.748543e-03 1.114296e-01 1.992486e-03 -2.563582e-01 1.987137e-02 1.000470e-01 3.057224e-03 -5.683229e-02 4.766948e-03 9.822698e-01 4.240609e-02
2.183258e-02 2.594265e-01 9.381070e-03 1.069371e-01 6.111360e-03 -2.108978e-01 2.140132e-02 1.081863e-01 3.248781e-03 -3.233513e-02 7.508679e-03 8.973723e-01 5.538922e-02
8.397147e-03 2.122226e-01 1.450551e-02 9.725558e-02 5.136054e-03 -3.133016e-01 5.405499e-02 7.793142e-02 2.174823e-03 -5.766472e-02 1.726671e-02 1.140912e+00 1.739753e-01
8.733032e-03 1.692082e-01 9.901334e-03 8.129562e-02 2.606341e-03 -2.169814e-01 1.812469e-02 6.852998e-02 1.808448e-03 -3.214272e-02 8.473178e-03 8.445078e-01 3.940476e-02
9.740690e-03 2.036360e-01 1.642450e-02 9.787802e-02 5.073208e-03 -2.276743e-01 3.597642e-02 8.208429e-02 2.609838e-03 -3.782771e-02 1.255642e-02 8.320193e-01 7.477805e-02
1.142012e-02 1.797520e-01 1.021988e-02 8.571432e-02 5.421409e-03 -2.279398e-01 1.674352e-02 8.145978e-02 3.123580e-03 -2.910123e-02 9.456763e-03 9.439042e-01 4.445086e-02
