# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 8.000000e+02 0.000000e+00 1.600000e+03 0.000000e+00 1.385641e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.771281e+03 0.000000e+00 2.400000e+03 0.000000e+00
3.029901e-04 7.393911e-01 1.602403e-01 1.241141e-01 2.710366e-02 -2.803463e-01 6.347496e-02 7.659700e-02 6.920807e-03 1.734703e-02 1.227948e-02 1.821320e-01 2.170704e-02
1.211961e-03 5.885260e-01 1.523499e-01 1.211751e-01 2.675525e-02 -1.942242e-01 6.938168e-02 7.034627e-02 7.569323e-03 1.253773e-02 9.374152e-03 1.295386e-01 3.244626e-02
2.726911e-03 5.345549e-01 1.346339e-01 7.644971e-02 2.028303e-02 -2.057501e-01 5.419912e-02 6.152582e-02 5.664100e-03 2.847532e-02 1.145544e-02 1.576252e-01 2.042522e-02
4.847842e-03 8.006941e-01 1.190542e-01 9.986486e-02 1.265419e-02 -3.328089e-01 6.115253e-02 6.332924e-02 2.630168e-03 1.199603e-02 6.784634e-03 2.149945e-01 3.337739e-02
7.574753e-03 7.695703e-01 1.113149e-01 9.468055e-02 1.984905e-02 -3.117673e-01 3.232732e-02 6.661398e-02 3.264463e-03 1.542416e-02 5.864062e-03 2.127929e-01 1.247689e-02
1.090764e-02 7.562409e-01 1.423890e-01 1.130637e-01 2.398464e-02 -2.852087e-01 3.470850e-02 6.944764e-02 7.064385e-03 1.354002e-02 7.049716e-03 2.201687e-01 6.807142e-03
1.484652e-02 7.662700e-01 5.145246e-02 8.935134e-02 8.000799e-03 -3.026934e-01 4.102848e-02 7.573372e-02 7.329502e-03 2.069831e-02 1.100010e-02 2.532766e-01 2.960989e-02
3.029901e-04 1.599778e+00 2.709198e-01 1.766271e-01 3.938762e-02 -7.209367e-01 1.584415e-01 6.927249e-02 1.344701e-02 -2.172512e-02 1.201987e-02 3.934854e-01 9.475983e-02
6.059803e-04 3.813639e-01 1.784616e-01 4.888064e-02 1.720838e-02 -1.614728e-01 8.348777e-02 4.701660e-02 6.869384e-03 2.560990e-02 1.127990e-02 1.234931e-01 3.774846e-02
