tag,x_MgCl2,k2cut_cycles2_per_A2,n_blocks,all_converged,S0_NN,S0_NN_err,S0_NN_blockmean,S0_MgMg,S0_MgMg_err,S0_MgMg_blockmean,S0_MgCl,S0_MgCl_err,S0_MgCl_blockmean,S0_MgNa,S0_MgNa_err,S0_MgNa_blockmean,S0_ClCl,S0_ClCl_err,S0_ClCl_blockmean,S0_ClNa,S0_ClNa_err,S0_ClNa_blockmean,S0_NaNa,S0_NaNa_err,S0_NaNa_blockmean
cl3232,0.0202020202020202,0.02,4,1,0.1051535324863428,0.000656851209769,0.1045544223701287,0.8445391106362735,0.011020137243713,0.8123546296959286,0.0781958710176892,0.0015858974549373,0.0748651665343317,-0.1627456282623313,0.0021805105703049,-0.156901469045351,0.0588790020860601,0.0003741424562799,0.0582730469338411,0.0376241928240103,0.0004463464256881,0.0379623925483333,0.0851299332887626,0.0005649303261585,0.0837966910437882
cl3264,0.0408163265306122,0.02,4,1,0.1058871202950072,0.0006422285449101,0.1059141617261839,0.7136737940865386,0.0174621895209263,0.6924697857301629,0.0902491290762029,0.0024950302051903,0.0877083733030576,-0.2004282160449687,0.0049196358983668,-0.1943267758006269,0.0627806399043117,0.0003034300474359,0.0624986333254794,0.0281636653485454,0.0009485942219014,0.0289181392899117,0.112028018907665,0.0011904146356531,0.1102966806000215
cl3296,0.0618556701030927,0.02,4,1,0.1117476744446974,0.0007965621821187,0.1075488510154279,0.6168604973845909,0.0097917231369904,0.6087273931482259,0.094325739635659,0.0019950130152633,0.093916021115429,-0.2164378207455085,0.003744905225388,-0.2126969406222371,0.0680290648474345,0.0005456841440979,0.0660103565366925,0.0239344120292085,0.0008315028025935,0.0219971345701883,0.1366158549890641,0.0014420243073032,0.1326336605485235
cl3360,0.1052631578947368,0.02,4,1,0.111029369403513,0.0008833799971657,0.1102652526853646,0.4826483084307641,0.0073406831253538,0.4658903750905097,0.0979188402377652,0.0015473513627318,0.0951745241902786,-0.2222633017773606,0.003408374771864,-0.21381759110252,0.0715979120423586,0.0003506432159157,0.0707861310323777,0.0124048599349314,0.0010553056677724,0.0133852010633536,0.1662585981209714,0.0014589907679966,0.1615544766422259
cl3424,0.1505376344086021,0.02,4,1,0.1135570107903292,0.0003831326291243,0.1128693980545913,0.344371146931553,0.0069894494824424,0.3375019582465651,0.084892975637008,0.0014375302551626,0.0830837387931598,-0.1911409498355286,0.0044564061753915,-0.1874631038975231,0.072507006312539,0.0003933212828898,0.0717559484791851,0.0129089712820891,0.000869311068578,0.0135581566951902,0.1759524215552661,0.0029124001974729,0.1736114227272854
cl3488,0.1978021978021978,0.02,4,1,0.1166184713617959,0.0003397650735026,0.1168788377685678,0.2626318690437719,0.0107912254974811,0.2527183445165308,0.0761015450399601,0.0028661006718644,0.0737784233192019,-0.1678348808596459,0.0075005036819244,-0.1608282193475132,0.0735775935666881,0.0006445079528611,0.0731622517065784,0.0143293015774968,0.0020940645539257,0.0161289315402223,0.184190987731724,0.0052147680908156,0.1794315321856861
cl3552,0.247191011235955,0.02,4,1,0.1239002345042692,0.0007662913298664,0.1237746558456693,0.220363684310741,0.0028841647974354,0.2171187292257842,0.07580613182244,0.0010433552609526,0.0755407758069068,-0.1549752922931367,0.0021116387026585,-0.1515979573620262,0.0786404728162415,0.0001903393377743,0.0786265568605181,0.0143432109821262,0.0011863294195361,0.0146294107890973,0.1960712330978259,0.0013115097962044,0.1925690128878071
cl3616,0.2988505747126437,0.02,4,1,0.1266607170511418,0.0017104476149312,0.1267930141997179,0.1707439188403559,0.0036089330346656,0.1669697290497506,0.0681829056389379,0.0014551293885181,0.067228552811405,-0.1301442285829001,0.0032561926010109,-0.1265150968338133,0.0789286751901088,0.0011749423579495,0.078746533583694,0.0183977976821015,0.0012875774842589,0.0193960161603377,0.1949729211529378,0.0025101130148054,0.1915928987041287
cl3680,0.3529411764705882,0.02,4,1,0.1338997041094056,0.001466000355308,0.1337332162527321,0.1542075057714057,0.0048286583757175,0.150858191380886,0.0710659845733936,0.0021880569731606,0.0700484655375973,-0.1250183377534556,0.0040939450037603,-0.1215424026232746,0.0844574815000431,0.0013810519037331,0.0840838271879745,0.0171539004883277,0.0014880452458618,0.0181165724683429,0.2094688222507773,0.0040368443929298,0.2057265471813627
cl3744,0.4096385542168674,0.02,4,1,0.1427290580724328,0.0022055291232809,0.1430271883891555,0.1413696980166854,0.0014009773112338,0.1395153326129901,0.0745673523474814,0.0012115943173824,0.0743290490208075,-0.1202957971364138,0.0018552074706024,-0.1175746848023399,0.0909220247165208,0.0014217035550933,0.091055687111046,0.0162678253749958,0.00128529836568,0.0168713754206559,0.2255487782997888,0.00180539520874,0.2219480699669171
cl3808,0.4691358024691358,0.02,4,1,0.1481353546560974,0.001226915224769,0.1471213629946274,0.1328415554369601,0.0012633982363881,0.1314555438662902,0.0758231988356025,0.0013251053865968,0.075093963152596,-0.1236225453446354,0.0014053269232175,-0.1222297947903533,0.0944837475926994,0.001178108930618,0.0937562642064641,0.0146222986828063,0.0006197361436382,0.0147831411335665,0.2567514037311451,0.002658845148326,0.2544004250691829
cl3872,0.5316455696202531,0.02,4,1,0.1547808705419103,0.001918344752498,0.1546110814043485,0.1259553472821258,0.0025388066695043,0.12448193877057,0.0783610157005747,0.0011929077674376,0.077636102401629,-0.1266853200469482,0.0037279772907087,-0.1248566261486362,0.099196066449962,0.0011350225046408,0.0988266747655075,0.0124091452419888,0.0017061632833181,0.0132858261387077,0.2923885336376672,0.0064344053044197,0.2900772331373591
cl3936,0.5974025974025974,0.02,4,1,0.168731534858732,0.0012857529341052,0.168964004940518,0.125054636398866,0.0011642737405831,0.1231347758343042,0.0838655420193796,0.000827292324846,0.0833312414062748,-0.1376153361792986,0.0022852113574785,-0.1340022925993377,0.1081852643375644,0.0005671052507667,0.1081325162104193,0.0111759512720294,0.0019746503558493,0.0123725897560963,0.3575317501364073,0.0047517571586945,0.3511129539223501
cl4000,0.6666666666666666,0.02,4,1,0.1852853667949494,0.0052630444492071,0.185184485996891,0.1206731559683438,0.0022876010367422,0.1193060529458594,0.0879387106230673,0.0025259397547968,0.0877459812351117,-0.1446782927627299,0.0012936835092356,-0.1412424975043432,0.1176641551346128,0.0034347878234859,0.11763862035004,0.0143768149545857,0.0017105150350118,0.0148648384691193,0.4413595431504649,0.0032651616109551,0.432732900399685
cl4064,0.7397260273972602,0.02,4,1,0.1972998498980945,0.001562522487757,0.1966846523014591,0.116190634620228,0.0016603552448666,0.1151884741881076,0.0939924330968225,0.0009715392701518,0.0936415539744872,-0.1487544649196874,0.0030928150512118,-0.1462826289252667,0.1266158919658002,0.0010555537526788,0.1262514188819317,0.0104355784105822,0.0008038010277258,0.010676337791364,0.5285367341645243,0.0090583077775858,0.5208248781446976
cl4128,0.8169014084507042,0.02,4,1,0.2158244694766878,0.0044011941237895,0.2146705109370903,0.109081849011493,0.0020162769571555,0.1077163036771451,0.098437022209541,0.0018615075128845,0.0979029367048346,-0.150727455702695,0.0051760530534424,-0.1466411675102363,0.1373968746749821,0.0024360252456363,0.1367449743340316,0.0169684076452043,0.0057855456535528,0.0171710905129293,0.6901957787784053,0.0091211266913184,0.6735718430747004
cl4192,0.8985507246376812,0.02,4,1,0.243514122473189,0.001760729434183,0.2423788054090138,0.097080550060591,0.0013043244244981,0.0958929776520997,0.1073566550405529,0.0012978397010942,0.1067846404711906,-0.1134169149548725,0.0031061582590566,-0.1088227934481902,0.1553142673498234,0.0012316667434791,0.1546279340856691,0.0328824355780907,0.0042787503645133,0.033318096777016,0.8173285339181657,0.0055254707608433,0.7918681184893333
cl4224,0.9411764705882352,0.02,4,1,0.2516656730510132,0.0032497659145248,0.2501931602620623,0.092122645318541,0.0014386753327667,0.0910714654331815,0.1127314252229145,0.0017751180886224,0.1119045978826244,-0.0893884281217786,0.0022702025588587,-0.0857287504930691,0.1626576142293848,0.0022813605904286,0.1616515313161389,0.0325454530938004,0.0022920406580802,0.0333805654933683,0.9020668191315304,0.0050418953225237,0.8775867535980734
cl4256,0.9850746268656716,0.02,4,1,0.2626947817917723,0.005147199286006,0.2583277677683355,0.0899021399154858,0.0014443796407027,0.0882104931420229,0.1224395626934754,0.002159415410164,0.1203038429124525,-0.0486949538380997,0.0032094052276601,-0.0458392691880398,0.1738559140957483,0.0032678613957134,0.1709195516014761,0.0155967926256728,0.0048424082488313,0.0164343474049764,0.9710703374170678,0.0038055436632218,0.9343301067986194
