# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 3.200000e+02 0.000000e+00 1.036919e+03 0.000000e+00 9.329523e+02 5.684342e-14 3.360000e+03 0.000000e+00 3.023111e+03 0.000000e+00 2.720000e+03 0.000000e+00
2.933849e-04 2.724711e-01 9.355749e-02 5.534960e-02 1.883883e-02 -1.241893e-01 4.726308e-02 7.058596e-02 5.203001e-03 4.107227e-02 1.246121e-02 1.319156e-01 2.276020e-02
1.173540e-03 9.362947e-01 2.736215e-01 1.426259e-01 3.239468e-02 -4.689481e-01 1.490329e-01 7.566391e-02 1.054596e-02 -1.098714e-02 1.833694e-02 3.076655e-01 8.118269e-02
2.640464e-03 7.542751e-01 1.264429e-01 1.372747e-01 1.467810e-02 -3.427182e-01 7.196784e-02 9.559200e-02 6.553144e-03 1.581180e-02 1.482960e-02 2.527324e-01 3.329850e-02
4.694158e-03 7.459615e-01 5.686663e-02 1.391368e-01 2.515011e-02 -3.152107e-01 3.087627e-02 8.133541e-02 7.486541e-03 -6.285317e-05 8.836928e-03 2.124445e-01 2.334900e-02
7.334623e-03 4.334049e-01 6.934912e-02 6.081378e-02 5.321854e-03 -1.958733e-01 4.543481e-02 7.205128e-02 5.165368e-03 3.690572e-02 4.802788e-03 1.878958e-01 3.304790e-02
1.056186e-02 4.978119e-01 1.337950e-01 8.898857e-02 2.395344e-02 -1.640033e-01 4.711174e-02 7.349802e-02 1.780411e-03 2.343593e-02 1.237467e-02 1.558093e-01 1.320849e-02
1.437586e-02 9.115495e-01 3.408811e-01 1.669446e-01 6.055359e-02 -2.906380e-01 1.101983e-01 1.029107e-01 9.993692e-03 7.929572e-03 2.090127e-02 2.274005e-01 3.399706e-02
2.933849e-04 6.380010e-01 1.622987e-01 9.002152e-02 2.716239e-02 -3.366645e-01 9.322639e-02 6.808571e-02 9.782122e-03 1.402147e-02 1.183710e-02 2.472848e-01 6.047995e-02
5.867698e-04 5.073954e-01 1.506827e-01 1.029436e-01 3.038301e-02 -2.301168e-01 7.426899e-02 7.634373e-02 5.488327e-03 1.556098e-02 1.602065e-02 1.765009e-01 3.577061e-02
