# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 7.040000e+02 0.000000e+00 1.581331e+03 0.000000e+00 1.228567e+03 0.000000e+00 3.552000e+03 0.000000e+00 2.759617e+03 0.000000e+00 2.144000e+03 0.000000e+00
2.927933e-04 2.001582e-01 4.883953e-02 6.290817e-02 1.230540e-02 -1.473031e-01 4.493753e-02 7.375564e-02 9.764560e-03 2.349872e-02 2.435180e-03 2.002212e-01 4.853416e-02
1.171173e-03 2.552145e-01 5.990452e-02 8.476070e-02 1.705021e-02 -1.754974e-01 4.602981e-02 8.072862e-02 5.147471e-03 8.753560e-03 1.368021e-02 2.125443e-01 3.550225e-02
2.635139e-03 2.126360e-01 5.196722e-02 7.991322e-02 2.014945e-02 -1.238945e-01 2.902464e-02 8.146822e-02 6.122608e-03 1.835571e-02 1.538538e-02 1.684234e-01 9.953189e-03
4.684692e-03 3.928604e-01 4.250896e-02 1.332059e-01 1.207521e-02 -2.259155e-01 3.288298e-02 9.999327e-02 5.389397e-03 -8.019572e-03 7.911419e-03 2.401560e-01 2.698117e-02
7.319831e-03 3.450939e-01 4.467991e-02 1.140311e-01 8.952811e-03 -1.790944e-01 3.514083e-02 8.895584e-02 2.317620e-03 -2.963775e-03 7.332368e-03 1.966309e-01 2.611490e-02
1.054056e-02 4.296686e-01 4.066311e-02 1.305671e-01 1.065138e-02 -2.129496e-01 2.181552e-02 9.819573e-02 2.822637e-03 -2.559272e-03 6.853892e-03 2.440228e-01 2.017480e-02
1.434687e-02 6.549479e-01 6.278501e-02 2.273163e-01 2.198521e-02 -2.730763e-01 3.354131e-02 1.469787e-01 7.305081e-03 -2.947498e-02 1.579937e-02 2.860844e-01 1.172286e-02
2.927933e-04 3.323535e-01 1.057710e-01 9.507988e-02 2.209757e-02 -2.550856e-01 9.614259e-02 8.342033e-02 8.620668e-03 -4.948532e-05 2.144647e-02 2.919600e-01 8.556425e-02
5.855865e-04 1.995511e-01 3.246325e-02 7.161450e-02 1.349212e-02 -1.336360e-01 2.950952e-02 8.113493e-02 5.043691e-03 2.367318e-02 1.161157e-02 1.853939e-01 3.345022e-02
1.463966e-03 1.929077e-01 2.888081e-02 7.640322e-02 9.921778e-03 -1.130247e-01 2.139194e-02 7.833362e-02 5.150945e-03 1.615634e-02 6.453368e-03 1.512352e-01 1.899180e-02
2.927933e-03 2.706837e-01 2.228591e-02 9.042186e-02 1.474455e-02 -1.704467e-01 1.755805e-02 8.718417e-02 8.815082e-03 1.568374e-02 6.584488e-03 2.147964e-01 2.096800e-02
4.977485e-03 3.074118e-01 3.661007e-02 9.134807e-02 1.302725e-02 -1.964950e-01 2.328261e-02 8.382412e-02 6.092306e-03 1.007137e-02 8.610928e-03 2.375295e-01 1.423505e-02
