system,x_NaCl,pair,r_A,g_r,g_r_block_sd
cl4256,0.014925373,Mg-Cl,0.01000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.03000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.05000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.07000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.09000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.11000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.13000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.15000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.17000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.19000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.21000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.23000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.25000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.27000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.29000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.31000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.33000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.35000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.37000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.39000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.41000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.43000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.45000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.47000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.49000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.51000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.53000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.55000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.57000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.59000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.61000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.63000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.65000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.67000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.69000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.71000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.73000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.75000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.77000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.79000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.81000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.83000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.85000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.87000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.89000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.91000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.93000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.95000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.97000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,0.99000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.01000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.03000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.05000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.07000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.09000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.11000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.13000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.15000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.17000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.19000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.21000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.23000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.25000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.27000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.29000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.31000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.33000,0.00000000,0.00000000
