system,x_NaCl,distribution,value,probability,block_sd
cl4256,0.014925373134328358,Mg-Cl CN,0,0.0,0.0
cl4256,0.014925373134328358,Mg-Cl CN,1,0.0,0.0
cl4256,0.014925373134328358,Mg-Cl CN,2,2.3674242424242424e-05,2.6468607688207736e-05
cl4256,0.014925373134328358,Mg-Cl CN,3,0.024057765151515153,0.0005329728729066975
cl4256,0.014925373134328358,Mg-Cl CN,4,0.5393821022727273,0.0018352119418200057
cl4256,0.014925373134328358,Mg-Cl CN,5,0.3777888257575758,0.0013295727285442943
cl4256,0.014925373134328358,Mg-Cl CN,6,0.05787405303030303,0.0008516724395864785
cl4256,0.014925373134328358,Mg-Cl CN,7,0.0008688446969696969,6.515794954793034e-05
cl4256,0.014925373134328358,Mg-Cl CN,8,4.734848484848485e-06,6.483458303801682e-06
cl4256,0.014925373134328358,Mg-Cl CN,9+,0.0,0.0
cl4256,0.014925373134328358,n_Mg(Cl),0,2.349624060150376e-06,3.2173552485030907e-06
cl4256,0.014925373134328358,n_Mg(Cl),1,0.03031954887218045,0.0005614046751693805
cl4256,0.014925373134328358,n_Mg(Cl),2,0.7324459586466165,0.0010028708423639853
cl4256,0.014925373134328358,n_Mg(Cl),3+,0.23723214285714286,0.0008289982653899369
cl4224,0.058823529411764705,Mg-Cl CN,0,0.0,0.0
cl4224,0.058823529411764705,Mg-Cl CN,1,0.0,0.0
cl4224,0.058823529411764705,Mg-Cl CN,2,1.708984375e-05,1.391815704466721e-05
cl4224,0.058823529411764705,Mg-Cl CN,3,0.0219189453125,0.0005473189595472812
cl4224,0.058823529411764705,Mg-Cl CN,4,0.51952392578125,0.0014406003689263686
cl4224,0.058823529411764705,Mg-Cl CN,5,0.39143310546875,0.0012616248789728466
cl4224,0.058823529411764705,Mg-Cl CN,6,0.06601318359375,0.0006206648203203949
cl4224,0.058823529411764705,Mg-Cl CN,7,0.00109375,9.159341544093782e-05
cl4224,0.058823529411764705,Mg-Cl CN,8,0.0,0.0
cl4224,0.058823529411764705,Mg-Cl CN,9+,0.0,0.0
cl4224,0.058823529411764705,n_Mg(Cl),0,2.959280303030303e-05,9.35806599244904e-06
cl4224,0.058823529411764705,n_Mg(Cl),1,0.05373461174242424,0.0003591108290523748
cl4224,0.058823529411764705,n_Mg(Cl),2,0.7203776041666666,0.001749247583750959
cl4224,0.058823529411764705,n_Mg(Cl),3+,0.2258581912878788,0.0014259494117201826
cl4192,0.10144927536231885,Mg-Cl CN,0,0.0,0.0
cl4192,0.10144927536231885,Mg-Cl CN,1,0.0,0.0
cl4192,0.10144927536231885,Mg-Cl CN,2,1.5120967741935484e-05,1.3803491872610033e-05
cl4192,0.10144927536231885,Mg-Cl CN,3,0.019672379032258065,0.00035533380508093935
cl4192,0.10144927536231885,Mg-Cl CN,4,0.49984375,0.001463772289591585
cl4192,0.10144927536231885,Mg-Cl CN,5,0.40602318548387095,0.0017896916132053577
cl4192,0.10144927536231885,Mg-Cl CN,6,0.07319304435483871,0.0011157443113133405
cl4192,0.10144927536231885,Mg-Cl CN,7,0.0012399193548387098,0.00011466041498061824
cl4192,0.10144927536231885,Mg-Cl CN,8,1.2600806451612903e-05,1.7820231380709364e-05
cl4192,0.10144927536231885,Mg-Cl CN,9+,0.0,0.0
cl4192,0.10144927536231885,n_Mg(Cl),0,6.560114503816794e-05,2.1912181620794175e-05
cl4192,0.10144927536231885,n_Mg(Cl),1,0.07877504770992366,0.0003919770211153406
cl4192,0.10144927536231885,n_Mg(Cl),2,0.7068654580152671,0.0011489173466092567
cl4192,0.10144927536231885,n_Mg(Cl),3+,0.21429389312977098,0.0009824744296623405
cl4128,0.18309859154929578,Mg-Cl CN,0,0.0,0.0
cl4128,0.18309859154929578,Mg-Cl CN,1,0.0,0.0
cl4128,0.18309859154929578,Mg-Cl CN,2,2.1551724137931033e-05,2.2539332611370567e-05
cl4128,0.18309859154929578,Mg-Cl CN,3,0.020929418103448276,0.001259353244317475
cl4128,0.18309859154929578,Mg-Cl CN,4,0.5061422413793103,0.0010328380620702466
cl4128,0.18309859154929578,Mg-Cl CN,5,0.4019908405172414,0.0014133180890271784
cl4128,0.18309859154929578,Mg-Cl CN,6,0.06999461206896551,0.0007409996890135905
cl4128,0.18309859154929578,Mg-Cl CN,7,0.0009213362068965517,0.0001287055946723196
cl4128,0.18309859154929578,Mg-Cl CN,8,0.0,0.0
cl4128,0.18309859154929578,Mg-Cl CN,9+,0.0,0.0
cl4128,0.18309859154929578,n_Mg(Cl),0,0.00038638565891472866,6.371975987191199e-05
cl4128,0.18309859154929578,n_Mg(Cl),1,0.14300387596899225,0.0006058381390645119
cl4128,0.18309859154929578,n_Mg(Cl),2,0.6864886143410853,0.001389631044765478
cl4128,0.18309859154929578,n_Mg(Cl),3+,0.17012112403100776,0.0014277525660793351
cl4064,0.2602739726027397,Mg-Cl CN,0,0.0,0.0
cl4064,0.2602739726027397,Mg-Cl CN,1,0.0,0.0
cl4064,0.2602739726027397,Mg-Cl CN,2,2.8935185185185186e-05,1.771910982916072e-05
cl4064,0.2602739726027397,Mg-Cl CN,3,0.01939236111111111,0.0009782275328966729
cl4064,0.2602739726027397,Mg-Cl CN,4,0.4940653935185185,0.002614102220800228
cl4064,0.2602739726027397,Mg-Cl CN,5,0.41152777777777777,0.0019879230334888874
cl4064,0.2602739726027397,Mg-Cl CN,6,0.07403356481481481,0.0007406361823992473
cl4064,0.2602739726027397,Mg-Cl CN,7,0.0009519675925925926,0.00010797516294586392
cl4064,0.2602739726027397,Mg-Cl CN,8,0.0,0.0
cl4064,0.2602739726027397,Mg-Cl CN,9+,0.0,0.0
cl4064,0.2602739726027397,n_Mg(Cl),0,0.0011417322834645668,0.00010019704980604502
cl4064,0.2602739726027397,n_Mg(Cl),1,0.21244832677165354,0.0007506761464400305
cl4064,0.2602739726027397,n_Mg(Cl),2,0.6460482283464567,0.0013217127662345596
cl4064,0.2602739726027397,n_Mg(Cl),3+,0.1403617125984252,0.000704273378740088
cl4000,0.3333333333333333,Mg-Cl CN,0,0.0,0.0
cl4000,0.3333333333333333,Mg-Cl CN,1,0.0,0.0
cl4000,0.3333333333333333,Mg-Cl CN,2,1.25e-05,1.3072812914594932e-05
cl4000,0.3333333333333333,Mg-Cl CN,3,0.01845,0.0006926652555527826
cl4000,0.3333333333333333,Mg-Cl CN,4,0.493390625,0.0013562283984454955
cl4000,0.3333333333333333,Mg-Cl CN,5,0.4113625,0.0006117142600409956
cl4000,0.3333333333333333,Mg-Cl CN,6,0.07583125,0.0005411982149014357
cl4000,0.3333333333333333,Mg-Cl CN,7,0.000953125,0.00010423175050098704
cl4000,0.3333333333333333,Mg-Cl CN,8,0.0,0.0
cl4000,0.3333333333333333,Mg-Cl CN,9+,0.0,0.0
cl4000,0.3333333333333333,n_Mg(Cl),0,0.0030675,0.0001747989917018974
cl4000,0.3333333333333333,n_Mg(Cl),1,0.28904375,0.0008498276479675253
cl4000,0.3333333333333333,n_Mg(Cl),2,0.59802875,0.001513626904573914
cl4000,0.3333333333333333,n_Mg(Cl),3+,0.10986,0.000723970173764085
cl3936,0.4025974025974026,Mg-Cl CN,0,0.0,0.0
cl3936,0.4025974025974026,Mg-Cl CN,1,0.0,0.0
cl3936,0.4025974025974026,Mg-Cl CN,2,6.7934782608695655e-06,9.302353218498067e-06
cl3936,0.4025974025974026,Mg-Cl CN,3,0.015230978260869565,0.00046300432639643374
cl3936,0.4025974025974026,Mg-Cl CN,4,0.47885529891304346,0.0023382669599080266
cl3936,0.4025974025974026,Mg-Cl CN,5,0.4200441576086957,0.002451171544034158
cl3936,0.4025974025974026,Mg-Cl CN,6,0.08456182065217391,0.0015074883631417102
cl3936,0.4025974025974026,Mg-Cl CN,7,0.0013009510869565217,0.00011556403421334234
cl3936,0.4025974025974026,Mg-Cl CN,8,0.0,0.0
cl3936,0.4025974025974026,Mg-Cl CN,9+,0.0,0.0
cl3936,0.4025974025974026,n_Mg(Cl),0,0.006873729674796748,0.0002358412710079215
cl3936,0.4025974025974026,n_Mg(Cl),1,0.3663401930894309,0.0009355084831624674
cl3936,0.4025974025974026,n_Mg(Cl),2,0.5380843495934959,0.0009049339711792286
cl3936,0.4025974025974026,n_Mg(Cl),3+,0.08870172764227642,0.000531631476988921
cl3872,0.46835443037974683,Mg-Cl CN,0,0.0,0.0
cl3872,0.46835443037974683,Mg-Cl CN,1,0.0,0.0
cl3872,0.46835443037974683,Mg-Cl CN,2,3.7202380952380952e-06,8.318705273436717e-06
cl3872,0.46835443037974683,Mg-Cl CN,3,0.01488095238095238,0.0004225378233482351
cl3872,0.46835443037974683,Mg-Cl CN,4,0.4986904761904762,0.002035730126578756
cl3872,0.46835443037974683,Mg-Cl CN,5,0.40775669642857143,0.0028372761135289507
cl3872,0.46835443037974683,Mg-Cl CN,6,0.07778645833333334,0.0010396218503440214
cl3872,0.46835443037974683,Mg-Cl CN,7,0.0008779761904761905,0.0001671004068562181
cl3872,0.46835443037974683,Mg-Cl CN,8,3.7202380952380952e-06,8.318705273436719e-06
cl3872,0.46835443037974683,Mg-Cl CN,9+,0.0,0.0
cl3872,0.46835443037974683,n_Mg(Cl),0,0.014288481404958678,0.000433146732963845
cl3872,0.46835443037974683,n_Mg(Cl),1,0.45495996900826446,0.00047279858073675845
cl3872,0.46835443037974683,n_Mg(Cl),2,0.46942665289256197,0.0006183094773730689
cl3872,0.46835443037974683,n_Mg(Cl),3+,0.06132489669421488,0.0005881367137501035
cl3808,0.5308641975308642,Mg-Cl CN,0,0.0,0.0
cl3808,0.5308641975308642,Mg-Cl CN,1,0.0,0.0
cl3808,0.5308641975308642,Mg-Cl CN,2,8.223684210526316e-06,1.1260743369760817e-05
cl3808,0.5308641975308642,Mg-Cl CN,3,0.015538651315789473,0.000836181282734325
cl3808,0.5308641975308642,Mg-Cl CN,4,0.5264432565789474,0.0028577450539185477
cl3808,0.5308641975308642,Mg-Cl CN,5,0.3907483552631579,0.002033388031509559
cl3808,0.5308641975308642,Mg-Cl CN,6,0.06668174342105262,0.0015360771184002942
