system,x_NaCl,x_MgCl2,N_Na,N_Mg,N_Cl,cutoff_A,sampled_frames,mean_CN,mean_CN_block_sd,P_CN3,P_CN4,P_CN5,P_CN6,mean_q4,mean_q4_block_sd,mean_q4_exact_CN4,mean_q4_exact_CN4_block_sd,terminal_Cl_fraction,bridging_Cl_fraction,terminal_among_Mg_bound_Cl,bridging_among_Mg_bound_Cl,corner_sharing_fraction,edge_or_more_sharing_fraction,face_or_more_sharing_fraction,largest_cluster_fraction,percolation_probability
cl4256,0.014925373134328358,0.9850746268656716,32,2112,4256,3.36046144,200,4.472057291666666,0.001972623487218966,0.024057765151515153,0.5393821022727273,0.3777888257575758,0.05787405303030303,0.7774995352326141,0.00029902217293786024,0.8218169191421094,0.00021479969839836155,0.03031954887218045,0.9696781015037594,0.03031962011188936,0.9696803798881107,0.7650071818051828,0.23499281819481735,0.012777722606007718,1.0,1.0
cl4224,0.058823529411764705,0.9411764705882353,128,2048,4224,3.37632537,200,4.50478759765625,0.0023709844724305773,0.0219189453125,0.51952392578125,0.39143310546875,0.06601318359375,0.7755511134907763,0.00041984014390082294,0.8224113020281203,0.0003790355250306424,0.05373461174242424,0.9462357954545454,0.05373620194726406,0.9462637980527359,0.758246377081293,0.24175362291870697,0.01427862115927648,0.999990234375,1.0
cl4192,0.10144927536231885,0.8985507246376812,224,1984,4192,3.39496007,200,4.536476814516129,0.0025487821622445367,0.019672379032258065,0.49984375,0.40602318548387095,0.07319304435483871,0.7745743042319426,0.0001833282720360516,0.8237694592865611,0.0003677857112854513,0.07877504770992366,0.9211593511450381,0.07878021578228533,0.9212197842177146,0.7519676987857189,0.2480323012142811,0.015738701357160975,0.9999798387096774,1.0
cl4128,0.18309859154929578,0.8169014084507042,416,1856,4128,3.35308866,200,4.523771551724138,0.0038472973247160665,0.020929418103448276,0.5061422413793103,0.4019908405172414,0.06999461206896551,0.7732032143681783,0.0006095700900325094,0.8228225714902939,0.0006100748402838596,0.14300387596899225,0.8566097383720931,0.14305915197369137,0.8569408480263087,0.7538722085739289,0.24612779142607097,0.014585514173195282,0.9998491379310345,1.0
cl4064,0.2602739726027397,0.7397260273972603,608,1728,4064,3.35967207,200,4.543000578703704,0.0015908234830286224,0.01939236111111111,0.4940653935185185,0.41152777777777777,0.07403356481481481,0.7733108858918337,0.00040357420857385396,0.8247313319988944,0.00022452902748939507,0.21244832677165354,0.7864099409448819,0.21269116313901698,0.7873088368609831,0.7481572664720636,0.2518427335279364,0.015787257126332613,0.999482060185185,1.0
cl4000,0.3333333333333333,0.6666666666666667,800,1600,4000,3.36253151,200,4.547409375,0.000683618303130408,0.01845,0.493390625,0.4113625,0.07583125,0.7753991931307749,0.0005393032705807313,0.8284080008526812,0.0005399444253097661,0.28904375,0.70788875,0.28993311984512493,0.7100668801548751,0.7449703801448265,0.25502961985517325,0.01703178055934734,0.99793125,1.0
cl3936,0.4025974025974026,0.5974025974025974,992,1472,3936,3.40862564,200,4.577826086956522,0.0036945803910104543,0.015230978260869565,0.47885529891304346,0.4200441576086957,0.08456182065217391,0.7792217920049264,0.0005991373778097448,0.8343934644100035,0.0004821772862063441,0.3663401930894309,0.6267860772357724,0.36887574524584,0.63112425475416,0.7336826337603032,0.26631736623969676,0.019430643711079776,0.9934035326086956,1.0
cl3872,0.46835443037974683,0.5316455696202531,1184,1344,3872,3.39656719,200,4.551090029761904,0.0029918035873181567,0.01488095238095238,0.4986904761904762,0.40775669642857143,0.07778645833333334,0.7840417371222019,0.0005242047517238588,0.8383874083716357,0.00052369308038451,0.45495996900826446,0.5307515495867768,0.4615548874347436,0.5384451125652564,0.7376107056567477,0.2623892943432523,0.019342629414356292,0.9760305059523811,1.0
cl3808,0.5308641975308642,0.4691358024691358,1376,1216,3808,3.36630346,200,4.5102960526315785,0.005229751577047425,0.015538651315789473,0.5264432565789474,0.3907483552631579,0.06668174342105262,0.7895883073743379,0.0004467815318606068,0.8419643372218047,0.0003073071242714871,0.5407352941176471,0.42998555672268907,0.557045100709995,0.44295489929000503,0.7486579362321922,0.2513420637678078,0.018214400662877252,0.9128125,1.0
cl3744,0.5903614457831325,0.40963855421686746,1568,1088,3744,3.44133535,200,4.5406433823529415,0.004809239723076744,0.010730698529411765,0.5136764705882353,0.40074448529411766,0.07392463235294118,0.7957753608507104,0.0006028648068921109,0.8500374824049934,0.0005729864269566364,0.6026268696581196,0.3448397435897436,0.6360402163326346,0.3639597836673653,0.741125938542033,0.25887406145796693,0.021524195700015004,0.7123943014705881,1.0
cl3680,0.6470588235294118,0.3529411764705882,1760,960,3680,3.41830388,200,4.503328125,0.0038072257603733698,0.010348958333333333,0.54034375,0.385390625,0.06346354166666666,0.801338305225353,0.0001957503249861509,0.85384020150202,0.0005526091785984267,0.6537010869565217,0.2533274456521739,0.7207061999212071,0.2792938000787929,0.7517477032952771,0.2482522967047229,0.019700981370454534,0.12785416666666666,0.03
cl3616,0.7011494252873564,0.29885057471264365,1952,832,3616,3.44997297,200,4.5061057692307696,0.004419488886833992,0.008599759615384615,0.5406850961538462,0.38717548076923075,0.06308894230769231,0.80632798407398,0.0009150695176924307,0.8592837767087781,0.0004579031310880241,0.6681042588495575,0.1805157632743363,0.7872831672972453,0.2127168327027547,0.7590850425577128,0.2409149574422873,0.020551349940469497,0.042451923076923075,0.0
cl3552,0.7528089887640449,0.2471910112359551,2144,704,3552,3.41955799,200,4.484325284090909,0.0020760636874938127,0.007585227272727273,0.5579048295454545,0.37735795454545457,0.05690340909090909,0.8088574121447951,0.00039825645944861716,0.8613006398882153,0.000747472245096312,0.6489118806306307,0.11820523648648648,0.8459097915443335,0.15409020845566646,0.7685702473162033,0.23142975268379679,0.01901141736192392,0.022975852272727276,0.0
