mixture,system,x_NaCl,pair,r_A,g_r
LiCl-NaCl,li3040,0.05,X-Cl,0.01,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.03,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.05,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.07,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.09,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.11,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.13,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.15000000000000002,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.16999999999999998,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.19,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.21000000000000002,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.22999999999999998,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.25,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.27,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.29000000000000004,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.31,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.33,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.35,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.37,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.39,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.41000000000000003,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.43,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.45,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.47,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.49,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.51,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.53,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.55,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.5700000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.59,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.61,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.63,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.65,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.67,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.6900000000000001,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.71,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.73,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.75,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.77,0.0
LiCl-NaCl,li3040,0.05,X-Cl,0.79,0.0
