mixture,central_cation,system,x_NaCl,criterion,cutoff_A,mean_cation_degree,n_cation_Cl,P_MD,P_MD_block_sd,P_random,delta_P,delta_P_block_sd
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3910825,0,2e-05,9.529969176235568e-06,3.6770090610909836e-05,-1.6770090610909835e-05,9.661201967986478e-06
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3910825,1,0.001425625,5.0746382260216284e-05,0.001814518468676108,-0.00038889346867610787,5.165092638911567e-05
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3910825,2,0.0310275,0.0004212112834581959,0.030368793326820954,0.0006587066731790457,0.0003378936291195922
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3910825,3+,0.967526875,0.000444484427455002,0.9677799181138921,-0.0002530431138920708,0.00035545276336776437
LiCl-NaCl,Li,li3040,0.05,union,4.196943810509818,5.71763875,0,2.5e-06,2.614562582918986e-06,2.7550272667256386e-06,-2.550272667256384e-07,2.611668337872045e-06
LiCl-NaCl,Li,li3040,0.05,union,4.196943810509818,5.71763875,1,0.000208125,2.525262981354615e-05,0.00016822942437190103,3.9895575628098976e-05,2.378408369595092e-05
LiCl-NaCl,Li,li3040,0.05,union,4.196943810509818,5.71763875,2,0.0046775,0.0002147673159491453,0.0037673051922525722,0.000910194807747428,0.00021999393771297192
LiCl-NaCl,Li,li3040,0.05,union,4.196943810509818,5.71763875,3+,0.995111875,0.00019406979656168237,0.9960617103561087,-0.0009498353561087081,0.0001986021985254135
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.389585,0,0.00017375,1.5404696929832797e-05,0.00024849094062089435,-7.474094062089436e-05,1.6950655950534404e-05
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.389585,1,0.006024375,0.00011731035227122964,0.006538245844258226,-0.0005138708442582254,0.00011280346310630588
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.389585,2,0.065125,0.0003164207172618466,0.06166595409799236,0.003459045902007643,0.00028545927525841454
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.389585,3+,0.928676875,0.00039924611574503,0.9315473091171285,-0.0028704341171285064,0.00037217487212260814
LiCl-NaCl,Li,li2880,0.1,union,4.196943810509818,5.695896875,0,3.375e-05,6.011057519272294e-06,2.8610891376710093e-05,5.139108623289907e-06,5.9188794155367256e-06
LiCl-NaCl,Li,li2880,0.1,union,4.196943810509818,5.695896875,1,0.001278125,5.01949325131532e-05,0.0009311938094338099,0.0003469311905661901,5.103620240655366e-05
LiCl-NaCl,Li,li2880,0.1,union,4.196943810509818,5.695896875,2,0.0151875,0.00014192111034832007,0.011670172316632008,0.0035173276833679913,0.00017301171939413353
LiCl-NaCl,Li,li2880,0.1,union,4.196943810509818,5.695896875,3+,0.983500625,0.00018265083663921347,0.9873700229825576,-0.0038693979825575875,0.0002144301284708251
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.28616375,0,0.000666875,3.53967468491103e-05,0.001000688392765961,-0.000333813392765961,3.9262627749754425e-05
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.28616375,1,0.016070625,0.00016291413574334143,0.01734210954122302,-0.0012714845412230176,0.00012089981278801278
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.28616375,2,0.11696375,0.0004737936985123367,0.10994474587581353,0.007019004124186476,0.0006287393826318576
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.28616375,3+,0.86629875,0.0003807283829221387,0.8717124561901973,-0.0054137061901973205,0.000571808365581061
LiCl-NaCl,Li,li2720,0.15,union,4.196943810509818,5.673155625,0,0.000158125,2.2491317769308224e-05,0.00013215460938378656,2.5970390616213444e-05,2.2324006739593172e-05
LiCl-NaCl,Li,li2720,0.15,union,4.196943810509818,5.673155625,1,0.00381375,9.350488790699655e-05,0.0029169579512862264,0.0008967920487137735,8.01628401696876e-05
LiCl-NaCl,Li,li2720,0.15,union,4.196943810509818,5.673155625,2,0.032734375,0.0004431829563650885,0.025396764672351548,0.007337610327648455,0.00035429456339553607
LiCl-NaCl,Li,li2720,0.15,union,4.196943810509818,5.673155625,3+,0.96329375,0.000521739316193922,0.9715541227669784,-0.008260372766978441,0.00041523139471014695
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3959425,0,0.0018525,0.00012309882335952686,0.0021245396265495552,-0.00027203962654955526,0.0001307180919358545
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3959425,1,0.028829375,0.0005961161733986918,0.028041720945343625,0.0007876540546563754,0.0005795834686206149
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3959425,2,0.151493125,0.0004086670883035534,0.1390134050415119,0.012479719958488095,0.0005456400552127853
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3959425,3+,0.817825,0.0004879755292916889,0.8308203343865947,-0.012995334386594726,0.0006338760852549274
LiCl-NaCl,Li,li2560,0.2,union,4.196943810509818,5.653839375,0,0.000614375,4.276799694280761e-05,0.00041862584830572243,0.00019574915169427758,4.433100824316432e-05
LiCl-NaCl,Li,li2560,0.2,union,4.196943810509818,5.653839375,1,0.0095975,0.00035635552165288494,0.0068966407357159585,0.0027008592642840416,0.00037108310061589406
LiCl-NaCl,Li,li2560,0.2,union,4.196943810509818,5.653839375,2,0.057761875,0.0002901407255539968,0.04553318994719577,0.01222868505280423,0.00033437995722797613
LiCl-NaCl,Li,li2560,0.2,union,4.196943810509818,5.653839375,3+,0.93202625,0.0006745499078089263,0.9471515434687827,-0.015125293468782774,0.0007410410529804074
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.44020375,0,0.003736875,0.00023229703842817293,0.004264091891463417,-0.000527216891463417,0.00022935536527147384
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.44020375,1,0.046993125,0.0005599176836821639,0.04438986516076552,0.002603259839234477,0.000501083585207204
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.44020375,2,0.193536875,0.0005642048816143766,0.17633016294931905,0.017206712050680945,0.00040108188781321104
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.44020375,3+,0.755733125,0.0008453012360617422,0.7750158799984519,-0.01928275499845189,0.0005504968535471487
LiCl-NaCl,Li,li2400,0.25,union,4.196943810509818,5.634529375,0,0.0014625,0.00017140560904620362,0.0010760349573226127,0.00038646504267738735,0.00017033083013324657
LiCl-NaCl,Li,li2400,0.25,union,4.196943810509818,5.634529375,1,0.0185075,0.0003012149875919193,0.01388699409693607,0.00462050590306393,0.0003081041635580867
LiCl-NaCl,Li,li2400,0.25,union,4.196943810509818,5.634529375,2,0.0892175,0.000493777689097028,0.07261602535388428,0.01660147464611572,0.00037920302141489703
LiCl-NaCl,Li,li2400,0.25,union,4.196943810509818,5.634529375,3+,0.8908125,0.0008103547400290523,0.912420945591857,-0.02160844559185704,0.0007521758874310851
LiCl-NaCl,Li,li2240,0.3,M-Cl,3.5950001672352676,4.33913375,0,0.00817375,0.0001939338845135116,0.009037793700708266,-0.0008640437007082658,0.00022989628504394583
LiCl-NaCl,Li,li2240,0.3,M-Cl,3.5950001672352676,4.33913375,1,0.0784175,0.0007169767528047876,0.07385482219853481,0.004562677801465187,0.000896670281656854
LiCl-NaCl,Li,li2240,0.3,M-Cl,3.5950001672352676,4.33913375,2,0.2507275,0.0012487873023707891,0.2312238870150017,0.01950361298499828,0.0009918747433834876
LiCl-NaCl,Li,li2240,0.3,M-Cl,3.5950001672352676,4.33913375,3+,0.66268125,0.0011458143937828568,0.6858834970857552,-0.023202247085755245,0.001144408926599716
LiCl-NaCl,Li,li2240,0.3,union,4.196943810509818,5.61520875,0,0.0031825,0.00012172667255987903,0.0024166922936305632,0.0007658077063694368,0.0001252564670938362
LiCl-NaCl,Li,li2240,0.3,union,4.196943810509818,5.61520875,1,0.0334625,0.0005794494962893643,0.02508367793723572,0.008378822062764277,0.0006036220140015713
LiCl-NaCl,Li,li2240,0.3,union,4.196943810509818,5.61520875,2,0.1274975,0.0012734948223294793,0.10637553488930783,0.021121965110692184,0.0012749619712265595
LiCl-NaCl,Li,li2240,0.3,union,4.196943810509818,5.61520875,3+,0.8358575,0.0016871796570941998,0.8661240948798258,-0.030266594879825748,0.0017274957874233478
LiCl-NaCl,Li,li2080,0.35,M-Cl,3.646847273238193,4.433855,0,0.013868125,0.000386739424952383,0.014239042890482717,-0.0003709178904827172,0.0003781428100210471
LiCl-NaCl,Li,li2080,0.35,M-Cl,3.646847273238193,4.433855,1,0.10675875,0.0008366174220858075,0.09744947166902698,0.009309278330973017,0.0008106215859061907
LiCl-NaCl,Li,li2080,0.35,M-Cl,3.646847273238193,4.433855,2,0.281265,0.0011670722416318188,0.25910833014814716,0.022156669851852828,0.0011268067916657197
LiCl-NaCl,Li,li2080,0.35,M-Cl,3.646847273238193,4.433855,3+,0.598108125,0.0006718771802290281,0.629203155292343,-0.031095030292343062,0.0005244411571196382
LiCl-NaCl,Li,li2080,0.35,union,4.196943810509818,5.59726125,0,0.006450625,0.0003620039709726954,0.004872568559221919,0.0015780564407780811,0.00036141290917391977
LiCl-NaCl,Li,li2080,0.35,union,4.196943810509818,5.59726125,1,0.05354625,0.0007893684431635853,0.04149115404804088,0.012055095951959117,0.0007681952805779879
LiCl-NaCl,Li,li2080,0.35,union,4.196943810509818,5.59726125,2,0.16890625,0.0006506344559831588,0.14524886385880206,0.023657386141197945,0.0007432345252718524
