mixture,central_cation,system,x_NaCl,mean_abs_alpha_3_10A,block_sd_3_10A,mean_abs_alpha_6_10A,block_sd_6_10A,sampled_frames
LiCl-NaCl,Li,li3040,0.05,0.08143228515377648,0.001281519832091817,0.042762400863684956,0.000973408112652775,500
LiCl-NaCl,Li,li2880,0.1,0.07759818341351747,0.0007662991841011887,0.041093620954896146,0.0006445121326722888,500
LiCl-NaCl,Li,li2720,0.15,0.07434988738471639,0.0007886934815628913,0.03931884079917547,0.00039526944343266056,500
LiCl-NaCl,Li,li2560,0.2,0.06939310907782957,0.0006090425619077409,0.037064531698038077,0.0008359026913510385,500
LiCl-NaCl,Li,li2400,0.25,0.06589717493520096,0.00045494980268421706,0.03467893166309857,0.00046115265962862466,500
LiCl-NaCl,Li,li2240,0.3,0.06152212621931376,0.0005562837519933763,0.03340494330981921,0.00026500182955520833,500
LiCl-NaCl,Li,li2080,0.35,0.05756406597908752,0.00046024286764685706,0.0314520855687864,0.0004896720572162851,500
LiCl-NaCl,Li,li1920,0.4,0.05366257864819289,0.0003576067887971788,0.030135199817474107,0.00023837603356103386,500
LiCl-NaCl,Li,li1760,0.45,0.049814614684611645,0.0003312479950139925,0.02777809087781097,0.000524172045852489,500
LiCl-NaCl,Li,li1600,0.5,0.04583116420470976,0.000400279124411886,0.025618704611966,0.0003760922787454283,500
LiCl-NaCl,Li,li1440,0.55,0.041185896725245745,0.0004978984386704996,0.023992063883240666,0.0004891895108120472,500
LiCl-NaCl,Li,li1280,0.6,0.037098366819434125,0.00041824492375370907,0.021343057149551696,0.0006408094669976367,500
LiCl-NaCl,Li,li1120,0.65,0.03287493401207739,0.00047101397855081747,0.01937683723169487,8.275016848346391e-05,500
LiCl-NaCl,Li,li960,0.7,0.028827051840656946,0.000777499568267135,0.016956676462331913,0.00043389191078027373,500
LiCl-NaCl,Li,li800,0.75,0.023732413409565285,0.00025534122246219853,0.014271174469387717,0.0005629913078314685,500
LiCl-NaCl,Li,li640,0.8,0.019644429345806784,0.0005741352494254284,0.012110269427686464,0.00038063140675930607,500
LiCl-NaCl,Li,li480,0.85,0.014821692495604923,0.00035428452876986867,0.008861698491974261,0.0003439867561713015,500
LiCl-NaCl,Li,li320,0.9,0.009544142948072877,0.0004512880950668199,0.006110525878806093,0.00040393169870029663,500
LiCl-NaCl,Li,li160,0.95,0.005029838605808146,0.0006137342925082695,0.0033176565700831174,0.0003102734398957336,500
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,0.19890921386675084,0.0017522944075745559,0.07932075751432191,0.001618659434841514,500
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,0.1846595246701216,0.0016304239529061331,0.07335010724755167,0.0012514352869471392,500
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,0.17177431154243789,0.0019085829945488465,0.07105729637754479,0.0009864601637630257,500
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,0.15272914318998473,0.001452725275952626,0.06459695217958394,0.0008988932172309277,500
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,0.13420909395205502,0.0013133939882436464,0.05829682389751217,0.00042725933363858067,500
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,0.1209250610843016,0.0006704917914999831,0.055477812074333104,0.000833974147135638,500
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,0.10762568668299928,0.0010811677205951318,0.053398433526516416,0.0007788089021750971,500
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,0.09906796474086606,0.0013694630802089352,0.05293698319091932,0.000962610382393475,500
MgCl2-NaCl,Mg,cl3808,0.5308641975308642,0.09499787382964858,0.0010183867572545822,0.053213122691485044,0.0004379682101976052,500
MgCl2-NaCl,Mg,cl3744,0.5903614457831325,0.09849396936901235,0.0008336455452896159,0.05381273701320001,0.0009093590990348653,500
MgCl2-NaCl,Mg,cl3680,0.6470588235294118,0.09803560514416693,0.0008569504792148206,0.05275442325721599,0.0009921046086147898,500
MgCl2-NaCl,Mg,cl3616,0.7011494252873564,0.09177930626743122,0.000473908031309382,0.04806125108489626,0.000265700664419011,500
MgCl2-NaCl,Mg,cl3552,0.7528089887640449,0.08058010487494134,0.0009884331996093572,0.041019620783856105,0.000916204971448857,500
MgCl2-NaCl,Mg,cl3488,0.8021978021978022,0.06612449842426014,0.0010089531466416302,0.031224308024570078,0.0008390544041438474,500
MgCl2-NaCl,Mg,cl3424,0.8494623655913979,0.05065865329936307,0.0006732907628423365,0.022233163099223137,0.0008099314948275155,500
MgCl2-NaCl,Mg,cl3360,0.8947368421052632,0.03448600310947898,0.00048550457272961167,0.01395300216338985,0.0009301281875271478,500
MgCl2-NaCl,Mg,cl3296,0.9381443298969072,0.019456719414317473,0.0006941920693197893,0.0064223370717223505,0.0008476376656721756,500
MgCl2-NaCl,Mg,cl3264,0.9591836734693877,0.013106838582942088,0.0005067811968928126,0.0043046437676513,0.0005478559699356016,500
MgCl2-NaCl,Mg,cl3232,0.9797979797979798,0.0062031146923823876,0.0006392650016472911,0.001767248886449572,0.0004596954982796135,500
