mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li3040,0.05,0.05,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.15000000000000002,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.25,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.35000000000000003,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.45,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.55,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.75,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.8500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.95,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.05,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.1500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.25,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.35,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.4500000000000002,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.55,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.75,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.85,1.0,0.0,0.0
LiCl-NaCl,Li,li3040,0.05,1.9500000000000002,1.0,0.0,0.0
LiCl-NaCl,Li,li3040,0.05,2.05,1.0,0.0,0.0
LiCl-NaCl,Li,li3040,0.05,2.1500000000000004,0.9816739230064161,0.040828661301494436,0.0
LiCl-NaCl,Li,li3040,0.05,2.25,0.8953728507351109,0.05040313492951259,0.0
LiCl-NaCl,Li,li3040,0.05,2.3500000000000005,0.8809558406577829,0.02709538110097226,0.0
LiCl-NaCl,Li,li3040,0.05,2.45,0.8459950788604964,0.016913063573892693,0.0
LiCl-NaCl,Li,li3040,0.05,2.55,0.8221531687561481,0.010998576850770972,0.0
LiCl-NaCl,Li,li3040,0.05,2.6500000000000004,0.7455405827727841,0.004465599026461126,0.0
LiCl-NaCl,Li,li3040,0.05,2.75,0.6811487608172073,0.01940804715872366,0.0
LiCl-NaCl,Li,li3040,0.05,2.8500000000000005,0.6284523622253684,0.014509775202001644,0.0
LiCl-NaCl,Li,li3040,0.05,2.95,0.540369095846633,0.02036648832933837,0.0
LiCl-NaCl,Li,li3040,0.05,3.05,0.4704681056769865,0.013342610990242136,0.0
LiCl-NaCl,Li,li3040,0.05,3.1500000000000004,0.3794261007860795,0.01236088507300153,0.0
LiCl-NaCl,Li,li3040,0.05,3.25,0.3133953047481415,0.006159190795496065,0.0
LiCl-NaCl,Li,li3040,0.05,3.3500000000000005,0.23232258370500436,0.006437397754006991,0.0
LiCl-NaCl,Li,li3040,0.05,3.45,0.17092360432714304,0.00967460432265521,0.0
LiCl-NaCl,Li,li3040,0.05,3.55,0.11816895544999284,0.006433187386313201,0.0
LiCl-NaCl,Li,li3040,0.05,3.6500000000000004,0.06389731603270532,0.016191719608898626,0.0
LiCl-NaCl,Li,li3040,0.05,3.75,0.021677682012251953,0.005460371365493639,0.0
LiCl-NaCl,Li,li3040,0.05,3.8500000000000005,-0.015963360834705398,0.007759223815897087,0.0
LiCl-NaCl,Li,li3040,0.05,3.95,-0.03921505020589078,0.013896280116857323,0.0
LiCl-NaCl,Li,li3040,0.05,4.050000000000001,-0.07375350324574215,0.011990726810217409,0.0
LiCl-NaCl,Li,li3040,0.05,4.15,-0.08358103631217673,0.008383352514894624,0.0
LiCl-NaCl,Li,li3040,0.05,4.25,-0.08267225237370934,0.006519893487039455,0.0
LiCl-NaCl,Li,li3040,0.05,4.35,-0.09795528397610997,0.010710982698898235,0.0
LiCl-NaCl,Li,li3040,0.05,4.45,-0.11997802265648017,0.01297471988912118,0.0
LiCl-NaCl,Li,li3040,0.05,4.550000000000001,-0.14382712478348925,0.0066969345036193405,0.0
LiCl-NaCl,Li,li3040,0.05,4.65,-0.16459665303747095,0.00822720381166252,0.0
LiCl-NaCl,Li,li3040,0.05,4.75,-0.18470414051071127,0.017581605811496426,0.0
LiCl-NaCl,Li,li3040,0.05,4.8500000000000005,-0.2136039557528544,0.0069700867121509575,0.0
LiCl-NaCl,Li,li3040,0.05,4.95,-0.21510746642831702,0.017390955624967005,0.0
LiCl-NaCl,Li,li3040,0.05,5.050000000000001,-0.20448145542663076,0.00911177876530017,0.0
LiCl-NaCl,Li,li3040,0.05,5.15,-0.184819751343398,0.006867586831371549,0.0
LiCl-NaCl,Li,li3040,0.05,5.25,-0.16480062834412834,0.017425109764290507,0.0
LiCl-NaCl,Li,li3040,0.05,5.3500000000000005,-0.13203919202014403,0.017029767626019647,0.0
LiCl-NaCl,Li,li3040,0.05,5.45,-0.09493618012148164,0.0134439724804791,0.0
LiCl-NaCl,Li,li3040,0.05,5.550000000000001,-0.04954573938154638,0.00806419433571745,0.0
LiCl-NaCl,Li,li3040,0.05,5.65,-0.015425964944068449,0.005717045343634905,0.0
LiCl-NaCl,Li,li3040,0.05,5.75,0.013482868488220223,0.008230093935780504,0.0
LiCl-NaCl,Li,li3040,0.05,5.8500000000000005,0.03587821844791761,0.013921659743843125,0.0
LiCl-NaCl,Li,li3040,0.05,5.95,0.048302918891507396,0.008529119215898514,0.0
LiCl-NaCl,Li,li3040,0.05,6.050000000000001,0.07475534900070147,0.008657462136428248,0.0
LiCl-NaCl,Li,li3040,0.05,6.15,0.09077148958087766,0.008415499109279056,0.0
LiCl-NaCl,Li,li3040,0.05,6.25,0.09671308986728788,0.008704041638273695,0.0
LiCl-NaCl,Li,li3040,0.05,6.3500000000000005,0.09900223256602236,0.009812919941208448,0.0
LiCl-NaCl,Li,li3040,0.05,6.45,0.09873193299000016,0.009982391006240885,0.0
LiCl-NaCl,Li,li3040,0.05,6.550000000000001,0.09321003963309105,0.009898259173523,0.0
LiCl-NaCl,Li,li3040,0.05,6.65,0.08565379993730626,0.008193058732541579,0.0
LiCl-NaCl,Li,li3040,0.05,6.75,0.073195258049227,0.0046503404849530154,0.0
LiCl-NaCl,Li,li3040,0.05,6.8500000000000005,0.06963562985608396,0.0073719168720854916,0.0
LiCl-NaCl,Li,li3040,0.05,6.95,0.052644712664462245,0.006337146406773139,0.0
LiCl-NaCl,Li,li3040,0.05,7.050000000000001,0.03650873438434965,0.006160538411345661,0.0
LiCl-NaCl,Li,li3040,0.05,7.15,0.02828275784202383,0.0048474313518506625,0.0
LiCl-NaCl,Li,li3040,0.05,7.25,0.019417898627243968,0.0041881375374911295,0.0
LiCl-NaCl,Li,li3040,0.05,7.3500000000000005,0.0008608922625430449,0.007196031620256888,0.0
LiCl-NaCl,Li,li3040,0.05,7.45,-0.014282255654090914,0.0030161275085647636,0.0
LiCl-NaCl,Li,li3040,0.05,7.550000000000001,-0.015387277113945386,0.0041265600686550405,0.0
