system,N_Na,N_Mg,N_Cl,x_NaCl,x_MgCl2,total_frames,sampled_frames,mean_volume_A3,mean_cl_density_A3
cl4256,32,2112,4256,0.014925373,0.985074627,1515,300,214447.352230,0.0198472774
cl4224,128,2048,4224,0.058823529,0.941176471,1813,300,212611.309640,0.0198680195
cl4192,224,1984,4192,0.101449275,0.898550725,1729,300,210554.540432,0.0199099812
cl4128,416,1856,4128,0.183098592,0.816901408,2007,300,207597.222300,0.0198854513
cl4064,608,1728,4064,0.260273973,0.739726027,1920,300,205285.698591,0.0197974311
cl4000,800,1600,4000,0.333333333,0.666666667,1933,300,203779.013633,0.0196296122
cl3936,992,1472,3936,0.402597403,0.597402597,1828,300,202752.490764,0.0194133709
cl3872,1184,1344,3872,0.468354430,0.531645570,1836,300,201884.541377,0.0191797624
cl3808,1376,1216,3808,0.530864198,0.469135802,1949,300,201237.458435,0.0189234002
cl3744,1568,1088,3744,0.590361446,0.409638554,2028,300,200777.094269,0.0186479830
cl3680,1760,960,3680,0.647058824,0.352941176,1534,300,200433.683271,0.0183606004
cl3616,1952,832,3616,0.701149425,0.298850575,1596,300,199978.832631,0.0180822706
cl3552,2144,704,3552,0.752808989,0.247191011,1553,300,199545.981230,0.0178008006
cl3488,2336,576,3488,0.802197802,0.197802198,1746,300,199261.936071,0.0175049636
cl3424,2528,448,3424,0.849462366,0.150537634,1959,300,199002.397264,0.0172061672
cl3360,2720,320,3360,0.894736842,0.105263158,1661,300,198966.926457,0.0168875451
cl3296,2912,192,3296,0.938144330,0.061855670,1436,300,198987.480622,0.0165640965
cl3264,3008,128,3264,0.959183673,0.040816327,1291,300,199047.418866,0.0163984107
cl3232,3104,64,3232,0.979797980,0.020202020,1221,300,199219.008255,0.0162236324
