system,x_NaCl,x_MgCl2,r_peak_A,r_peak_A_block_sd,g_peak,g_peak_block_sd,r_min_A,r_min_A_block_sd,g_min,g_min_block_sd,coordination_number,coordination_number_block_sd,first_shell_mean_A,first_shell_mean_A_block_sd,first_shell_std_A,first_shell_std_A_block_sd
cl4256,0.014925373,0.985074627,2.36081081,0.00053706,6.65392727,0.01442570,3.36046144,0.02837067,0.30661244,0.00205419,4.46917771,0.02287192,2.51748482,0.00430972,0.26220374,0.00602177
cl4224,0.058823529,0.941176471,2.36135588,0.00127227,6.63359364,0.01448630,3.37632537,0.03806179,0.30959941,0.00211374,4.50606120,0.03667838,2.52275371,0.00679818,0.26795016,0.01009568
cl4192,0.101449275,0.898550725,2.35964003,0.00144282,6.61970208,0.01428601,3.39496007,0.01976105,0.30924542,0.00123729,4.54106519,0.01973113,2.52749648,0.00374488,0.27360176,0.00543247
cl4128,0.183098592,0.816901408,2.36250394,0.00202130,6.59674990,0.00788807,3.35308866,0.02853779,0.31349885,0.00164827,4.52932471,0.02280660,2.52241171,0.00429785,0.26485531,0.00601940
cl4064,0.260273973,0.739726027,2.35919032,0.00201447,6.61431601,0.02252614,3.35967207,0.04654998,0.31540202,0.00299634,4.54345679,0.04333309,2.52217153,0.00797282,0.26527400,0.01117755
cl4000,0.333333333,0.666666667,2.35865965,0.00246708,6.68325965,0.00996489,3.36253151,0.04127873,0.31199876,0.00184746,4.54582083,0.03422211,2.52106718,0.00659740,0.26507605,0.00935607
cl3936,0.402597403,0.597402597,2.35516630,0.00130640,6.79161250,0.01079978,3.40862564,0.04614333,0.30479715,0.00272259,4.57047554,0.03949222,2.52432171,0.00780468,0.27366803,0.01159142
cl3872,0.468354430,0.531645570,2.35413178,0.00115055,6.94857444,0.01495115,3.39656719,0.02544730,0.29843198,0.00332545,4.55529266,0.01675157,2.52024944,0.00351460,0.27206084,0.00522536
cl3808,0.530864198,0.469135802,2.35201419,0.00222271,7.08566934,0.00981335,3.36630346,0.05376445,0.29096816,0.00389951,4.50290844,0.04699016,2.50966716,0.00962304,0.26113876,0.01392810
cl3744,0.590361446,0.409638554,2.35091602,0.00170554,7.28170495,0.01554836,3.44133535,0.03966737,0.27858656,0.00333617,4.54091605,0.03232958,2.51625489,0.00670873,0.27619578,0.01002120
cl3680,0.647058824,0.352941176,2.34889958,0.00210330,7.51733899,0.03068150,3.41830388,0.04364119,0.26550232,0.00215030,4.50417361,0.03215595,2.50762655,0.00641362,0.26756853,0.00970548
cl3616,0.701149425,0.298850575,2.34788659,0.00345499,7.66395307,0.03928380,3.44997297,0.03087857,0.25774867,0.00187746,4.50318910,0.01900548,2.50674228,0.00389813,0.26889261,0.00608468
cl3552,0.752808989,0.247191011,2.35185165,0.00225845,7.83083809,0.03005468,3.41955799,0.03714723,0.24541510,0.00463012,4.48062500,0.02170889,2.50059617,0.00447188,0.26110057,0.00732645
cl3488,0.802197802,0.197802198,2.35037662,0.00188991,8.00040985,0.01947068,3.47181263,0.05352083,0.23947937,0.00471576,4.51917245,0.03509637,2.50711445,0.00733173,0.27200918,0.01165631
cl3424,0.849462366,0.150537634,2.35131941,0.00263459,8.16995600,0.04365007,3.40450655,0.10737058,0.23860413,0.00412203,4.47372024,0.06720469,2.49606997,0.01457060,0.25327076,0.02408461
cl3360,0.894736842,0.105263158,2.35425299,0.00371734,8.31294774,0.05668883,3.46782959,0.02624477,0.22885007,0.00539034,4.51286458,0.01555473,2.50330807,0.00326589,0.26387337,0.00512402
cl3296,0.938144330,0.061855670,2.35297732,0.00436558,8.47259464,0.08269792,3.43223406,0.09726217,0.23066279,0.00635223,4.50914931,0.05529335,2.50116010,0.01215767,0.25911312,0.02109347
cl3264,0.959183673,0.040816327,2.35425103,0.00596482,8.53997735,0.05371047,3.49964099,0.10372717,0.22821350,0.00502343,4.54455729,0.05458660,2.50806671,0.01239511,0.27037465,0.02132713
cl3232,0.979797980,0.020202020,2.35682379,0.00623132,8.63268495,0.14473671,3.49684943,0.07979988,0.23089656,0.00736165,4.54989583,0.05949179,2.51016575,0.01172377,0.27246423,0.01797190
