system,x_NaCl,N_Li,N_Na,N_Cl,sampled_RDF_frames,sampled_connectivity_frames,r_peak_A,g_peak,r_min_cutoff_A,r_min_cutoff_block_sd_A,g_min,Li_Cl_coordination_number,Li_Cl_coordination_number_block_sd
li3040,0.05,3040,160,3200,300,200,2.2966244548526533,3.8315945541546057,3.613764810414501,0.025470313260747942,0.5442930318299065,4.377595394736842,0.0025314698764836094
li2880,0.1,2880,320,3200,300,200,2.2980592837549807,3.900454128333726,3.6143165654334726,0.03345099139818172,0.5375179578854155,4.358222222222222,0.0014152287518088688
li2720,0.15,2720,480,3200,300,200,2.2944906297816683,3.9596278416085324,3.560200759497853,0.08045205148273372,0.5358648847541483,4.2483216911764705,0.002731408270714598
li2560,0.2,2560,640,3200,300,200,2.2930656810968686,4.013643949893217,3.622227754414723,0.025552060832971252,0.5310844497673343,4.332126953125,0.002246108610684538
li2400,0.25,2400,800,3200,300,200,2.2971910339841823,4.075026520109875,3.6478660764903026,0.04784472794062899,0.5257667240846706,4.355560416666667,0.0019518871077113095
li2240,0.3,2240,960,3200,300,200,2.2926688069005774,4.136132024092777,3.5950001672352676,0.060688883847830215,0.5198090935024081,4.247495535714286,0.004260452660435386
li2080,0.35,2080,1120,3200,300,200,2.290407920003959,4.182394985549034,3.646847273238193,0.05846664917742712,0.5150139924625448,4.310379807692308,0.004060086546989575
li1920,0.4,1920,1280,3200,300,200,2.2916505416286217,4.245257880450157,3.593186248679602,0.03528602152229495,0.506859469462242,4.206080729166667,0.0024554716361517115
li1760,0.45,1760,1440,3200,300,200,2.289345376550126,4.314086854262858,3.61837556799174,0.03251772351986756,0.5002482250720786,4.22221875,0.002730108463007088
li1600,0.5,1600,1600,3200,300,200,2.286917568333753,4.368505772151522,3.595666661405148,0.026225075876125038,0.4933983333548621,4.169834375,0.0021240979243404646
li1440,0.55,1440,1760,3200,300,200,2.2844589471927668,4.423268713193313,3.629865189523814,0.036125970751169426,0.4910333312969488,4.200722222222222,0.003392234054540848
li1280,0.6,1280,1920,3200,300,200,2.283731504274152,4.496520801651691,3.682800577075379,0.03969121551995892,0.483680547661714,4.25390625,0.003097874214036969
li1120,0.65,1120,2080,3200,300,200,2.284170116769059,4.570165495913013,3.71959267002497,0.059577036778235046,0.4790308902690041,4.287991071428571,0.002178941896194148
li960,0.7,960,2240,3200,300,200,2.287749522112975,4.598580104409744,3.5896301055492486,0.07852443002662927,0.4731709806051372,4.0870572916666665,0.001937349484521202
li800,0.75,800,2400,3200,300,200,2.2833071727410816,4.6703441748712216,3.6689356652982226,0.10763442161149199,0.4634335736296976,4.17478125,0.005794326427635897
li640,0.8,640,2560,3200,300,200,2.283146580492994,4.720957305464867,3.6623742724757475,0.03667268524740278,0.45577134939727454,4.1461796875,0.0017404524712520907
li480,0.85,480,2720,3200,300,200,2.283926636169326,4.775937688812197,3.690349369455803,0.05561568789154275,0.45516511837940027,4.16140625,0.002618709393745044
li320,0.9,320,2880,3200,300,200,2.285185019258155,4.86833764945499,3.6259393792121584,0.048458764836445074,0.4468602343245523,4.065609375,0.007215341795546662
li160,0.95,160,3040,3200,300,200,2.288491630836332,4.955674236694029,3.7205122043101237,0.08742875782570098,0.43418631625210125,4.15996875,0.006095152082290504
