mixture,central_cation,system,x_NaCl,n_cation_Cl,probability,block_sd,cutoff_A
LiCl-NaCl,Li,li3040,0.05,0,1.875e-05,1.1848242881330549e-05,3.613764810414501
LiCl-NaCl,Li,li3040,0.05,1,0.0014359375,0.0001060314848582722,3.613764810414501
LiCl-NaCl,Li,li3040,0.05,2,0.03101875,0.0004386355241506051,3.613764810414501
LiCl-NaCl,Li,li3040,0.05,3+,0.9675265625,0.00048044016683270797,3.613764810414501
LiCl-NaCl,Li,li2880,0.1,0,0.000165625,3.9605599548864295e-05,3.6143165654334726
LiCl-NaCl,Li,li2880,0.1,1,0.0062203125,0.00030595689098404855,3.6143165654334726
LiCl-NaCl,Li,li2880,0.1,2,0.064975,0.0004706147803505266,3.6143165654334726
LiCl-NaCl,Li,li2880,0.1,3+,0.9286390625,0.0005792166635719022,3.6143165654334726
LiCl-NaCl,Li,li2720,0.15,0,0.000709375,0.00012710627781260448,3.560200759497853
LiCl-NaCl,Li,li2720,0.15,1,0.0160015625,0.0004758703990781001,3.560200759497853
LiCl-NaCl,Li,li2720,0.15,2,0.116675,0.0008092369875092993,3.560200759497853
LiCl-NaCl,Li,li2720,0.15,3+,0.8666140625,0.0008857735187747136,3.560200759497853
LiCl-NaCl,Li,li2560,0.2,0,0.0018453125,0.0001654885935929574,3.622227754414723
LiCl-NaCl,Li,li2560,0.2,1,0.02850625,0.0003127635607321848,3.622227754414723
LiCl-NaCl,Li,li2560,0.2,2,0.1517265625,0.0006798446298259006,3.622227754414723
LiCl-NaCl,Li,li2560,0.2,3+,0.817921875,0.0005382126453015636,3.622227754414723
LiCl-NaCl,Li,li2400,0.25,0,0.0037203125,0.00017715608187062048,3.6478660764903026
LiCl-NaCl,Li,li2400,0.25,1,0.046984375,0.0008629718761259673,3.6478660764903026
LiCl-NaCl,Li,li2400,0.25,2,0.1932875,0.0011435162414811756,3.6478660764903026
LiCl-NaCl,Li,li2400,0.25,3+,0.7560078125,0.000800199865170395,3.6478660764903026
LiCl-NaCl,Li,li2240,0.3,0,0.0081453125,0.00012604543296714524,3.5950001672352676
LiCl-NaCl,Li,li2240,0.3,1,0.07854375,0.00035667292604271846,3.5950001672352676
LiCl-NaCl,Li,li2240,0.3,2,0.250846875,0.000922579841776917,3.5950001672352676
LiCl-NaCl,Li,li2240,0.3,3+,0.6624640625,0.0006068306256305043,3.5950001672352676
LiCl-NaCl,Li,li2080,0.35,0,0.0137453125,0.0003521956104878011,3.646847273238193
LiCl-NaCl,Li,li2080,0.35,1,0.1066203125,0.0013732410624595363,3.646847273238193
LiCl-NaCl,Li,li2080,0.35,2,0.2813078125,0.001339890441970681,3.646847273238193
LiCl-NaCl,Li,li2080,0.35,3+,0.5983265625,0.00047763071877303555,3.646847273238193
LiCl-NaCl,Li,li1920,0.4,0,0.0255875,0.000575543221661067,3.593186248679602
LiCl-NaCl,Li,li1920,0.4,1,0.1530328125,0.0008335684889565081,3.593186248679602
LiCl-NaCl,Li,li1920,0.4,2,0.323125,0.001710643168176264,3.593186248679602
