mixture,central_cation,system,x_NaCl,criterion,cutoff_A,mean_cation_degree,n_cation_Cl,P_MD,P_MD_block_sd,P_random,delta_P,delta_P_block_sd
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3911745,0,2.2e-05,7.5828754440515506e-06,3.6784492207604345e-05,-1.4784492207604345e-05,7.2973094896332524e-06
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3911745,1,0.0014475,6.988830374247177e-05,0.0018144593749241785,-0.00036695937492417854,6.496062904617241e-05
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3911745,2,0.0310705,0.00035333854162827947,0.03037069729307416,0.0006998027069258402,0.00026867238696897777
LiCl-NaCl,Li,li3040,0.05,M-Cl,3.613764810414501,4.3911745,3+,0.96746,0.00041141524035943477,0.9677780588397943,-0.0003180588397942996,0.00032495273292451534
LiCl-NaCl,Li,li3040,0.05,union,4.183410391001019,5.6771125,0,2.5e-06,1.7677669529663689e-06,2.9778391403437224e-06,-4.778391403437222e-07,1.7409056680096642e-06
LiCl-NaCl,Li,li3040,0.05,union,4.183410391001019,5.6771125,1,0.000223,2.4962471832733223e-05,0.00018077254830190084,4.222745169809916e-05,2.4745527927285805e-05
LiCl-NaCl,Li,li3040,0.05,union,4.183410391001019,5.6771125,2,0.004957,0.00019448168294212178,0.004017793349964227,0.0009392066500357723,0.00020109350447622716
LiCl-NaCl,Li,li3040,0.05,union,4.183410391001019,5.6771125,3+,0.9948175,0.00017977416388345767,0.9957984562625933,-0.0009809562625933133,0.0001875271653438231
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.3890225,0,0.0001785,1.353236860272436e-05,0.0002488368906534581,-7.03368906534581e-05,1.4446271300502287e-05
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.3890225,1,0.006129,0.00024754166315996205,0.00654653346730407,-0.0004175334673040699,0.00022437786811337925
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.3890225,2,0.0651605,0.00019319193823759566,0.061727250726678555,0.003433249273321441,0.00017354472883874785
LiCl-NaCl,Li,li2880,0.1,M-Cl,3.614316565433473,4.3890225,3+,0.928532,0.00040882988516008985,0.9314773789153641,-0.002945378915364061,0.00027078624246488396
LiCl-NaCl,Li,li2880,0.1,union,4.183410391001019,5.6561805,0,3.55e-05,6.937218462755805e-06,3.0527933613305135e-05,4.972066386694867e-06,6.791404504241112e-06
LiCl-NaCl,Li,li2880,0.1,union,4.183410391001019,5.6561805,1,0.001389,0.00010387191632005253,0.000987939619480432,0.00040106038051956807,9.922533017540577e-05
LiCl-NaCl,Li,li2880,0.1,union,4.183410391001019,5.6561805,2,0.0159695,0.000293871783266104,0.012290823316668281,0.00367867668333172,0.00025124598856859014
LiCl-NaCl,Li,li2880,0.1,union,4.183410391001019,5.6561805,3+,0.982606,0.0003928843659398637,0.986690709130238,-0.004084709130238062,0.00034690383503303704
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.2863115,0,0.000689,6.055988771455905e-05,0.0010015122724304783,-0.0003125122724304783,6.093919438986113e-05
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.2863115,1,0.0161485,0.0002588834197085629,0.01735321265601496,-0.0012047126560149612,0.00022624819498267136
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.2863115,2,0.1170285,0.0003090590558453202,0.10997132586817505,0.007057174131824939,0.000486981820653371
LiCl-NaCl,Li,li2720,0.15,M-Cl,3.560200759497853,4.2863115,3+,0.866134,0.0003865092172251634,0.8716739492033795,-0.005539949203379524,0.0005406033528638956
LiCl-NaCl,Li,li2720,0.15,union,4.183410391001019,5.6358605,0,0.0001685,1.567242801865748e-05,0.00013929064592689943,2.9209354073100576e-05,1.5351991833142115e-05
LiCl-NaCl,Li,li2720,0.15,union,4.183410391001019,5.6358605,1,0.0040085,0.00014099645385611665,0.0030581177731969027,0.0009503822268030972,0.00013722351704414237
LiCl-NaCl,Li,li2720,0.15,union,4.183410391001019,5.6358605,2,0.03392,0.00017299747107978245,0.02644396499777105,0.007476035002228949,0.00011321723417270001
LiCl-NaCl,Li,li2720,0.15,union,4.183410391001019,5.6358605,3+,0.961903,0.00026607329817175977,0.970358626583105,-0.008455626583105058,0.00021756485573355157
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3958065,0,0.00182,0.0001370561016518418,0.002124580320724246,-0.0003045803207242458,0.00014324209787034298
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3958065,1,0.0286895,0.00047155792327136355,0.028042894844087157,0.0006466051559128431,0.00047790044562023387
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3958065,2,0.1516845,0.0005837202883231,0.1390241324642072,0.012660367535792805,0.0006706206422149766
LiCl-NaCl,Li,li2560,0.2,M-Cl,3.622227754414723,4.3958065,3+,0.817806,0.0005630680465094839,0.8308083923709815,-0.013002392370981442,0.0007525444307995212
LiCl-NaCl,Li,li2560,0.2,union,4.183410391001019,5.616146,0,0.000634,3.529341298316158e-05,0.0004392851719241421,0.0001947148280758579,3.7453928121371826e-05
LiCl-NaCl,Li,li2560,0.2,union,4.183410391001019,5.616146,1,0.009825,0.0003021537274302601,0.007195143279933833,0.002629856720066167,0.0003313829405448965
LiCl-NaCl,Li,li2560,0.2,union,4.183410391001019,5.616146,2,0.059401,0.00039557553008243504,0.04715766015786617,0.012243339842133834,0.0004699798172861445
LiCl-NaCl,Li,li2560,0.2,union,4.183410391001019,5.616146,3+,0.93014,0.000699479717361404,0.9452079113902759,-0.015067911390275968,0.0008190482911281888
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.4398895,0,0.0037975,0.0002156313404864888,0.004267751339811343,-0.0004702513398113432,0.00020307802392652662
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.4398895,1,0.0469845,0.0005160741225831817,0.04441376835272783,0.002570731647272166,0.00041565087833355405
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.4398895,2,0.193431,0.0005640993928378212,0.17637386196991564,0.01705713803008435,0.0005195586441150955
LiCl-NaCl,Li,li2400,0.25,M-Cl,3.6478660764903026,4.4398895,3+,0.755787,0.000928160815807279,0.7749446183375452,-0.019157618337545257,0.0006099012396764643
LiCl-NaCl,Li,li2400,0.25,union,4.183410391001019,5.5983485,0,0.001531,0.00013106057759677397,0.0011209455020466355,0.0004100544979533645,0.00012968341938563946
LiCl-NaCl,Li,li2400,0.25,union,4.183410391001019,5.5983485,1,0.0191085,0.0002609274324405154,0.014384198131858596,0.0047243018681414044,0.00023821479387721976
LiCl-NaCl,Li,li2400,0.25,union,4.183410391001019,5.5983485,2,0.091256,0.0006350752908120461,0.07468532161749016,0.01657067838250985,0.0005780627298406499
LiCl-NaCl,Li,li2400,0.25,union,4.183410391001019,5.5983485,3+,0.8881045,0.0007806515708048096,0.9098095347486045,-0.021705034748604524,0.000685332832848752
LiCl-NaCl,Li,li2240,0.3,M-Cl,3.5950001672352676,4.3397225,0,0.008199,0.0002640821368438235,0.009030687157621137,-0.0008316871576211377,0.0002947140585908841
LiCl-NaCl,Li,li2240,0.3,M-Cl,3.5950001672352676,4.3397225,1,0.0783005,0.0006692962722143319,0.07381219613687091,0.004488303863129081,0.0007521498811983822
