mixture,central_cation,system,x_NaCl,mean_abs_alpha_3_10A,block_sd_3_10A,mean_abs_alpha_6_10A,block_sd_6_10A,sampled_frames
LiCl-NaCl,Li,li3040,0.05,0.08115796924288808,0.001408340615959048,0.04259789748587812,0.001284432442112381,625
LiCl-NaCl,Li,li2880,0.1,0.07740880167599816,0.0004786681554819346,0.04104822871684484,0.0005791442462217168,625
LiCl-NaCl,Li,li2720,0.15,0.07420585644618023,0.0004345739317412915,0.0394419272121245,0.0004038600987094958,625
LiCl-NaCl,Li,li2560,0.2,0.06950688987003904,0.0002813744656453568,0.03697633100573712,0.000636342438234379,625
LiCl-NaCl,Li,li2400,0.25,0.06584999654013572,0.0005591311729960321,0.03469713140269189,0.00037994765324317423,625
LiCl-NaCl,Li,li2240,0.3,0.061618349621522454,0.0005155404639403053,0.033358596517274075,0.00031043896370091503,625
LiCl-NaCl,Li,li2080,0.35,0.0576140980116993,0.00043815907987747126,0.031256363938459694,0.0006002024843559373,625
LiCl-NaCl,Li,li1920,0.4,0.05359975334388442,0.00039244082412740947,0.029848280724804232,0.0007503711932956733,625
LiCl-NaCl,Li,li1760,0.45,0.04973500291001729,0.00022258771479892532,0.02787330072952954,0.0006181700219759326,625
LiCl-NaCl,Li,li1600,0.5,0.045743890484640386,0.0003314526959341423,0.025604710436550628,0.00041366163897602916,625
LiCl-NaCl,Li,li1440,0.55,0.04123757159478359,0.0002075396703808371,0.023882727680469736,0.00036502994410396146,625
LiCl-NaCl,Li,li1280,0.6,0.037055342219073,0.0002709680547113983,0.021311751044502725,0.000254416997642041,625
LiCl-NaCl,Li,li1120,0.65,0.03272344728825203,0.0004721929791948246,0.019340938978722657,0.00020557825062932195,625
LiCl-NaCl,Li,li960,0.7,0.028796086162959308,8.346367096082889e-05,0.017019740637289463,0.00023670278002676677,625
LiCl-NaCl,Li,li800,0.75,0.023604600698537374,0.0002649624409452292,0.014265578689325924,0.0005091367035328007,625
LiCl-NaCl,Li,li640,0.8,0.019583726820728817,0.0006459228777234142,0.012064325603635372,0.0003214561227266024,625
LiCl-NaCl,Li,li480,0.85,0.01485761907647779,0.0002772560416419593,0.008808854863519937,0.00041425281953411585,625
LiCl-NaCl,Li,li320,0.9,0.00967015132142407,0.0006313189506481213,0.006259331433698941,0.0005212612431553348,625
LiCl-NaCl,Li,li160,0.95,0.004851785756965882,0.0005462744199167927,0.0031965277402660652,9.619589692051828e-05,625
MgCl2-NaCl,Mg,cl4256,0.014925373134328358,0.19769380318464747,0.0023584927426586514,0.07912778492025227,0.001883231831473986,625
MgCl2-NaCl,Mg,cl4224,0.058823529411764705,0.1841724522668883,0.0016309284754072047,0.07296579237242101,0.0014052798051973805,625
MgCl2-NaCl,Mg,cl4192,0.10144927536231885,0.1718877096917214,0.0015051980794486889,0.0709482372737633,0.00085188303332942,625
MgCl2-NaCl,Mg,cl4128,0.18309859154929578,0.153040782122964,0.0013840863206430693,0.0649188187034051,0.0007888155800715954,625
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,0.13451924533460372,0.0013806555203882747,0.05859562208022093,0.0007601819968390875,625
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,0.12093846387018024,0.0008191449911215946,0.05537563310286065,0.0005183804571896869,625
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,0.10768990172550821,0.0008221668106755778,0.05350837907067667,0.0004397431626322837,625
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,0.09891825683722197,0.001249202312323764,0.052784808133737926,0.0007364369448748612,625
MgCl2-NaCl,Mg,cl3808,0.5308641975308642,0.09536725924238432,0.001035058946936804,0.05347023821896189,0.0007520055454070542,625
MgCl2-NaCl,Mg,cl3744,0.5903614457831325,0.09840555957195034,0.0006746869203462699,0.05381621385251488,0.0008826024252864376,625
MgCl2-NaCl,Mg,cl3680,0.6470588235294118,0.0978617362440213,0.0008604521822325005,0.05260643709819315,0.0008228769829979017,625
MgCl2-NaCl,Mg,cl3616,0.7011494252873564,0.09161255015811914,0.0005538582538219985,0.0479919625534072,0.0003582419500496961,625
MgCl2-NaCl,Mg,cl3552,0.7528089887640449,0.08022447265132171,0.0008486273548936179,0.04064099525082141,0.0008440168441142235,625
MgCl2-NaCl,Mg,cl3488,0.8021978021978022,0.06591053034882122,0.0011875769201572456,0.031318678326281164,0.0009172081774603759,625
MgCl2-NaCl,Mg,cl3424,0.8494623655913979,0.05035807321516589,0.0007522852549297435,0.021895435553156595,0.0008569608893635236,625
MgCl2-NaCl,Mg,cl3360,0.8947368421052632,0.034525220914176674,0.0004711116462913555,0.014005897897093155,0.0005743078594679144,625
MgCl2-NaCl,Mg,cl3296,0.9381443298969072,0.019757281605039104,0.0008155935550869032,0.006366639256358253,0.0006532960994276795,625
MgCl2-NaCl,Mg,cl3264,0.9591836734693877,0.013318668734476981,0.0005691608964875346,0.004462462822958722,0.0005537774409145766,625
MgCl2-NaCl,Mg,cl3232,0.9797979797979798,0.0060949422511698955,0.0005189582679132929,0.0015337380900815193,0.0006726449268511426,625
