mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li3040,0.05,0.05,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.15000000000000002,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.25,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.35000000000000003,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.45,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.55,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.75,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.8500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,0.95,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.05,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.1500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.25,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.35,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.4500000000000002,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.55,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.75,nan,nan,0.0
LiCl-NaCl,Li,li3040,0.05,1.85,1.0,0.0,0.0
LiCl-NaCl,Li,li3040,0.05,1.9500000000000002,1.0,0.0,0.0
LiCl-NaCl,Li,li3040,0.05,2.05,1.0,0.0,0.0
LiCl-NaCl,Li,li3040,0.05,2.1500000000000004,0.9859495783555868,0.03159532447006106,0.0
LiCl-NaCl,Li,li3040,0.05,2.25,0.8891435643564356,0.05713781959638683,0.0
LiCl-NaCl,Li,li3040,0.05,2.3500000000000005,0.8891682170248311,0.031217682850148493,0.0
LiCl-NaCl,Li,li3040,0.05,2.45,0.8537280523492116,0.02447561086446673,0.0
LiCl-NaCl,Li,li3040,0.05,2.55,0.8231704518906652,0.01573755464010926,0.0
LiCl-NaCl,Li,li3040,0.05,2.6500000000000004,0.7427941232607409,0.008527227497836245,0.0
LiCl-NaCl,Li,li3040,0.05,2.75,0.6838899154424065,0.010876207481583806,0.0
LiCl-NaCl,Li,li3040,0.05,2.8500000000000005,0.6245139379488991,0.016586268058907002,0.0
LiCl-NaCl,Li,li3040,0.05,2.95,0.5379931269687763,0.014686419309221512,0.0
LiCl-NaCl,Li,li3040,0.05,3.05,0.4671439340646457,0.012940074050494087,0.0
LiCl-NaCl,Li,li3040,0.05,3.1500000000000004,0.37735062188357893,0.008131442681669624,0.0
LiCl-NaCl,Li,li3040,0.05,3.25,0.3110974121508998,0.008179629922145333,0.0
LiCl-NaCl,Li,li3040,0.05,3.3500000000000005,0.23701975906897377,0.01603447479866018,0.0
LiCl-NaCl,Li,li3040,0.05,3.45,0.1705798060259971,0.006212710923583311,0.0
LiCl-NaCl,Li,li3040,0.05,3.55,0.11602365239121659,0.012612980749967792,0.0
LiCl-NaCl,Li,li3040,0.05,3.6500000000000004,0.06350251183627931,0.010594617708009091,0.0
LiCl-NaCl,Li,li3040,0.05,3.75,0.022173411887996264,0.004717523976542267,0.0
LiCl-NaCl,Li,li3040,0.05,3.8500000000000005,-0.01646637295312514,0.0038875139707720253,0.0
LiCl-NaCl,Li,li3040,0.05,3.95,-0.03889611799607917,0.007889909404998936,0.0
LiCl-NaCl,Li,li3040,0.05,4.050000000000001,-0.07473330090014096,0.002400671953194414,0.0
LiCl-NaCl,Li,li3040,0.05,4.15,-0.083307373454796,0.007016976470667342,0.0
LiCl-NaCl,Li,li3040,0.05,4.25,-0.08332376034389122,0.00711369562959298,0.0
LiCl-NaCl,Li,li3040,0.05,4.35,-0.09606520744933578,0.010824132447382622,0.0
LiCl-NaCl,Li,li3040,0.05,4.45,-0.11910837370191762,0.012541232560846624,0.0
LiCl-NaCl,Li,li3040,0.05,4.550000000000001,-0.14232771703210334,0.010523273216375757,0.0
LiCl-NaCl,Li,li3040,0.05,4.65,-0.16528706038173824,0.007732027116594001,0.0
LiCl-NaCl,Li,li3040,0.05,4.75,-0.18152471934217584,0.01330790215509508,0.0
LiCl-NaCl,Li,li3040,0.05,4.8500000000000005,-0.2100880689297291,0.009244924705180511,0.0
LiCl-NaCl,Li,li3040,0.05,4.95,-0.21758417526138207,0.01091306297394204,0.0
LiCl-NaCl,Li,li3040,0.05,5.050000000000001,-0.2030316728633088,0.009131185916336453,0.0
LiCl-NaCl,Li,li3040,0.05,5.15,-0.1880164096982342,0.010208939415153266,0.0
LiCl-NaCl,Li,li3040,0.05,5.25,-0.15848738216091807,0.017644842293838003,0.0
LiCl-NaCl,Li,li3040,0.05,5.3500000000000005,-0.13013536736443476,0.014727354678328693,0.0
LiCl-NaCl,Li,li3040,0.05,5.45,-0.08984741130691098,0.017504658182956517,0.0
LiCl-NaCl,Li,li3040,0.05,5.550000000000001,-0.05160108221032478,0.00997373971773587,0.0
LiCl-NaCl,Li,li3040,0.05,5.65,-0.012222959234881037,0.011518498087783012,0.0
LiCl-NaCl,Li,li3040,0.05,5.75,0.01535605372213733,0.007197298181189146,0.0
LiCl-NaCl,Li,li3040,0.05,5.8500000000000005,0.03510486444361238,0.01299995107009338,0.0
LiCl-NaCl,Li,li3040,0.05,5.95,0.055971819230478226,0.018886371424315457,0.0
LiCl-NaCl,Li,li3040,0.05,6.050000000000001,0.07755092710222011,0.009800645602445875,0.0
LiCl-NaCl,Li,li3040,0.05,6.15,0.09099031877128694,0.0028214574936744814,0.0
LiCl-NaCl,Li,li3040,0.05,6.25,0.09712331430838184,0.007468917527054237,0.0
LiCl-NaCl,Li,li3040,0.05,6.3500000000000005,0.09975406255156205,0.00782510922706073,0.0
LiCl-NaCl,Li,li3040,0.05,6.45,0.0980801360463035,0.005010903650124306,0.0
LiCl-NaCl,Li,li3040,0.05,6.550000000000001,0.09136422472566086,0.004807639282909223,0.0
LiCl-NaCl,Li,li3040,0.05,6.65,0.08978399629064138,0.009881856622442974,0.0
LiCl-NaCl,Li,li3040,0.05,6.75,0.07331083508915714,0.0034181013451165597,0.0
LiCl-NaCl,Li,li3040,0.05,6.8500000000000005,0.06791219404687832,0.0058844608803017544,0.0
LiCl-NaCl,Li,li3040,0.05,6.95,0.05279150830161994,0.005785456397343189,0.0
LiCl-NaCl,Li,li3040,0.05,7.050000000000001,0.03994803823279591,0.009564043577226067,0.0
LiCl-NaCl,Li,li3040,0.05,7.15,0.028961747260194515,0.005825395372915304,0.0
LiCl-NaCl,Li,li3040,0.05,7.25,0.01863251779795294,0.0022662367403524816,0.0
LiCl-NaCl,Li,li3040,0.05,7.3500000000000005,0.00044930805480825065,0.003890351113503785,0.0
LiCl-NaCl,Li,li3040,0.05,7.45,-0.012839691647158924,0.004525473112003831,0.0
LiCl-NaCl,Li,li3040,0.05,7.550000000000001,-0.01529898921027395,0.004055881551772841,0.0
