# Paracetamol solubility in ethanol-water at 303.15 K, molar basis.
# sol(Jouyban):    Jouyban et al., Chem. Pharm. Bull. 56, 602 (2008), doi:10.1248/cpb.56.602
# sol(Prakongpan): Nagai & Prakongpan, Chem. Pharm. Bull. 32, 340 (1984), doi:10.1248/cpb.32.340
volume fraction,x_eth(solute free),sol(Jouyban) (mol/L),sol(Prakongpan) (mol/L)
0.00000,0.00000,0.2248520710059172,0.206114398422091
0.09813,0.03229,0.28856015779092736,0.2585798816568048
0.19635,0.06970,0.40473372781065087,0.3447731755424066
0.29639,0.11439,0.5808678500986197,0.4909270216962527
0.39632,0.16758,0.8431952662721898,0.7532544378698227
0.49812,0.23333,1.098027613412229,1.030571992110454
0.59800,0.31326,1.322879684418146,1.3416173570019727
0.69638,0.41290,1.5027613412228802,1.266666666666667
0.79844,0.54846,1.618934911242604,1.2854043392504935
0.89664,0.72679,1.540236686390533,1.3790927021696255
1.00000,1.00000,1.3603550295857993,0.9930966469428011
